id,created_at,text
859466618526724101,2017-05-02 17:56:24,b'@pilote_serie @LaurineSassano  Hello \xf0\x9f\x91\x8b ! Pensez-vous faire un \xc3\xa9pisode sur les s\xc3\xa9ries pour mobile Studio+ ? \xf0\x9f\x98\x8a'
859327322834563076,2017-05-02 08:42:53,b'CardKeeper is a @trello workflow for @alfredapp made to add ideas in various list easily ! https://t.co/onNMw0dtiL https://t.co/5agZWnPQ7K'
859324163210846208,2017-05-02 08:30:20,"b'Salto, the new #jumpingbot #robot from Berkeley University : https://t.co/MFEeG2pD0N'"
858236971965186048,2017-04-29 08:30:14,"b'#Amazon Echo Look, your new connected #stylist : https://t.co/vRRwmYNBPL  #iot'"
857205290072145920,2017-04-26 12:10:41,b'(FR) La nouvelle version de the-den est dispo ! Cr\xc3\xa9ez un compte et ajoutez vos sources \xf0\x9f\x98\x8b https://t.co/zkjfqvV2pn'
855337939496124416,2017-04-21 08:30:30,b'Tired eyes rarely see bright futures #quote https://t.co/AbiRZsYRqP'
852076377784365056,2017-04-12 08:30:13,b'#Design #Sprint kit by google ! https://t.co/qQ9QVInDxq'
849902063081357313,2017-04-06 08:30:16,b'#Youtube goes TV ! #Firstlook https://t.co/9ZAhzpPToH'
847478733355208705,2017-03-30 16:00:50,b'#Webdesign : Best of #maps navigation experiences https://t.co/DXE4kbsY8P'
841944593188958208,2017-03-15 09:30:08,b'LottieFiles : #animation for #webdesign made by AirBnb https://t.co/BBzzVkaq0O'
839157463739949058,2017-03-07 16:55:04,b'RT @paraboul: Je vous ai fait un petit outil de fact-checking pour v\xc3\xa9rifier combien de personnes max tiennent dans une zone https://t.co/G7\xe2\x80\xa6'
836537975869747200,2017-02-28 11:26:10,b'98 % of #statistics are made up'
836249792086958080,2017-02-27 16:21:01,b'#Amazing. Mailchimp made several projects with similar names in various fields  as a #marketing #viral campaign : https://t.co/JeUtgiBmru'
834079984247566336,2017-02-21 16:38:59,"b'""We must make sure #inspiration flows non-stop, #curiosity is sharpened, and #creativity is managed""  : https://t.co/C4Wz1WrqlZ #manifesto'"
832616991223541762,2017-02-17 15:45:34,"b""@AudineSerrano @gdutilleul \xf0\x9f\x91\x8b ! \nJe pense qu'Hubspot est le plus versatile \xf0\x9f\x99\x8c\nOn l'a bien personnalis\xc3\xa9 pour un client ac Zapier pour pas cher"""
829464724735680513,2017-02-08 22:59:35,"b'\xf0\x9f\x99\x8c ""Apart from fluidity and impact, the key to a good experience is harmony."" https://t.co/C4Wz1WrqlZ \n#UX #manifesto #creativity #innovation'"
829460204278448128,2017-02-08 22:41:37,b'RT @TechCrunch: PayPal\xe2\x80\x99s first payments bot is a Slack app https://t.co/hPAf7IxnGH'
827086676346466304,2017-02-02 09:30:04,b'#Webdesign navigation evolution : https://t.co/hECAbWHoeM https://t.co/jFWUtEMut2'
826837619510276096,2017-02-01 17:00:25,"b'Best of #webdesign 2016 for the BASIC agency, wow : https://t.co/pfRvjMmFS3 #UI https://t.co/RhGSU3U6fZ'"
826777511870726144,2017-02-01 13:01:34,"b'Check out my ""creative engineer"" #manifesto on @Medium here : https://t.co/C4Wz1WrqlZ \n#creativity #innovation #tech https://t.co/hpkZoeU8Ty'"
826703376205377537,2017-02-01 08:06:58,"b""RT @hackaday: We're following dev of low-cost neuroprosthetic on #hackadayio https://t.co/14g3Int4Lc #HackadayPrize https://t.co/wCQ5ofxAPz"""
