id,created_at,text
863371018433331201,2017-05-13 12:31:06,b'SpaceX Falcon 9 Rocket Successfully Performed Six Total Sea Landing &amp; Four Land Landing ... https://t.co/67DKntPCV5'
863371018378907649,2017-05-13 12:31:06,b'NASA and the White House decide not to send people around the moon in 2019 https://t.co/db5D5jKntN'
863194599728316419,2017-05-13 00:50:04,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 12 May 2017 https://t.co/WttdiQc4YE'
863190409622810624,2017-05-13 00:33:25,b'FAWNING MEDIA - That rumbling you hear underneath the road is just the boss making his six-minute trip from Spa... https://t.co/kWtcg4Hp59'
863190409601830912,2017-05-13 00:33:25,b'SpaceX launches Falcon 9 rocket from Kennedy Space Center - SpaceX Falcon successfully launched a classified mi... https://t.co/6n3ISb2cZo'
863103072234549248,2017-05-12 18:46:22,b'AFRL Rocket Lab Technology Demonstration Program Completes Testing on Full-Scale Turbopump Machinery https://t.co/vOdbHU21lV'
863008993895206912,2017-05-12 12:32:32,"b""SpaceX and IIT Madras Receive Awards From IEEE Spectrum - This year's Emerging Technology Award from IEEE Spect... https://t.co/hEF1UYnQWC"""
863008993656156160,2017-05-12 12:32:32,"b""Watch: Is this the rocket that can put humans on Mars? - However, if the latest video released by Elon Musk's S... https://t.co/LswQnX4S0d"""
862921809133522944,2017-05-12 06:46:06,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 11 May 2017 https://t.co/49npDNIzuW'
862832002206248960,2017-05-12 00:49:14,b'Are the Dyson rings around pulsars detectable? - Are the Dyson rings around pulsars detectable? https://t.co/T5AzRlal0j'
862828306550456320,2017-05-12 00:34:33,"b""0 comments - Rocket development at SpaceX isn't hindered by government shenanigans. In theory they could get an... https://t.co/xeqQQg6s4t"""
862828306353324036,2017-05-12 00:34:33,b'Elon Musk urges Trump to stick with Paris climate-change effort https://t.co/z6N8CVmk0P'
862758006928355328,2017-05-11 19:55:12,b'How Being Deaf Made the Difference in Space Research | National Air and Space Museum https://t.co/8b9cfZQcsC'
862740807627018240,2017-05-11 18:46:52,b'SKY Perfect JSAT and LeoSat Sign Strategic Partnership &amp; Investment Agreement https://t.co/BCfVqGFUAZ'
862646520553799681,2017-05-11 12:32:12,b'Falcon 9 readies for Static Fire test ahead of Inmarsat 5 F4 mission https://t.co/QkT7zCQxZD'
862646520256106497,2017-05-11 12:32:12,"b'5 days ago - For almost all jobs at SpaceX, only permanent residency (i.e., a green card) is required, because ... https://t.co/1YTDrr5rZB'"
862559470341300225,2017-05-11 06:46:17,b'Gerard van Belle Named Director of Telescope Array in Flagstaff https://t.co/0jJKT1NSbM'
862469419779411969,2017-05-11 00:48:28,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 10 May 2017 https://t.co/YkpTXLgvB2'
862465748836417536,2017-05-11 00:33:53,"b""SpaceX completes test on Falcon Heavy rocket's center core - SpaceX has completed the first static fire test of... https://t.co/0ik0IRy7M1"""
862465748777742337,2017-05-11 00:33:53,"b""SpaceX's Falcon Heavy testing - SpaceX's Falcon Heavy testing. https://t.co/zOvCyL8KRy.. (0 replies). Cre https://t.co/kf1WrdslvA"""
862394363950882817,2017-05-10 19:50:13,b'First Evidence of Supermassive Black Holes Producing New Stars | Inverse https://t.co/8vjXGsyRXj'
862378490351505409,2017-05-10 18:47:08,b'MDA to Establish a Satellite Centre of Excellence in Montreal https://t.co/WxCfKcD02j'
862284111700008960,2017-05-10 12:32:07,b'SpaceX successfully tests Falcon Heavy rocket ahead of space missions https://t.co/OD8CrEYeqc'
862284111658004480,2017-05-10 12:32:07,b'WATCH: SpaceX tests Falcon Heavy rocket - SpaceX has surprised the astronomical world with the first test of a ... https://t.co/yD4fK7Dmxp'
862198130221174784,2017-05-10 06:50:27,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 9 May 2017 https://t.co/RN0baLRPTG'
862104182223974400,2017-05-10 00:37:08,b'SpaceX releases first test video of the giant rocket that could launch people to Mars https://t.co/zFGyBIY1gg'
862104181951393793,2017-05-10 00:37:08,b'See SpaceX test-fire the rocket it will ride to Mars - CNET - The SpaceX Twitter on Tuesday account shared the ... https://t.co/hhA5bf6Ylw'
862016886275440641,2017-05-09 18:50:15,"b""Elon Musk's 10 Craziest Quotes of 2016 (So Far) | Inverse https://t.co/NabbDfhQuD"""
861925503602700288,2017-05-09 12:47:08,b'The First Brown Dwarf Discovered by the Backyard Worlds: Planet 9 Citizen Science Project https://t.co/ff1avZ1Pm7'
861921535736598529,2017-05-09 12:31:22,"b""This is SpaceX's plan to beam internet to the whole world - In front of a Senate hearing committee SpaceX confi... https://t.co/DI5p6yu8Mb"""
861921515260055553,2017-05-09 12:31:17,"b""Bengaluru firm chosen for building hyperloop pod prototype - ... and their scaled down pod prototype 'OrcaPod' ... https://t.co/tW1uE3tlG4"""
861835270269919233,2017-05-09 06:48:35,b'NASA ROSES-17 Amendment 8: D.2 ADAP Due Date Delay - NASA ROSES-17 Amendment 8: D.2 ADAP Due Date Delay https://t.co/VQBsIbEHZA'
861742418940633088,2017-05-09 00:39:37,"b""Nasa releases stunning 'action cam' footage of spacewalk - New crew spaceships, being designed by SpaceX and Bo... https://t.co/AK2opQ8GYw"""
861742418567335936,2017-05-09 00:39:37,"b'Lemme introduce myself - (Poland, cryptocurrency, SpaceX) - Lemme introduce myself - (Poland, cryptocurrency, S... https://t.co/2KmWSu8xpM'"
861669579856244740,2017-05-08 19:50:11,b'First Evidence of Supermassive Black Holes Producing New Stars | Inverse https://t.co/8vjXGsyRXj'
861653792219160577,2017-05-08 18:47:27,"b'Space radiation reproduced in the lab for better, safer missions https://t.co/e2eRaArDVm'"
861623049170419713,2017-05-08 16:45:17,b'How Being Deaf Made the Difference in Space Research | National Air and Space Museum https://t.co/8b9cfZQcsC'
861563489588047872,2017-05-08 12:48:37,b'exactEarth Announces Two-Year $1.45 Million Commercial Customer Renewal https://t.co/Jisjvb3vLj'
861559230222000128,2017-05-08 12:31:42,"b""Spacex internship experience essay - Spacex internship experience essay. But let's not kid ourselves, some degr... https://t.co/Ij7VCXc9tB"""
861559229991313408,2017-05-08 12:31:42,"b'SpaceX To Begin Testing High-Speed Satellite Broadbands - In the year 2015, SpaceX CEO Elon Musk announced that... https://t.co/9tp1BvAVNx'"
861382307630002180,2017-05-08 00:48:40,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 7 May 2017 https://t.co/iy9eTIzRth'
861378324337184768,2017-05-08 00:32:50,"b'May. 6 at 10:43 AM - $TSLA Space X IPO will be coming Bullish. Companies Mentioned. Symbol, Current Price, Sinc... https://t.co/gpevdLgceI'"
861378324328841216,2017-05-08 00:32:50,b'Hawthorne-Based SpaceX Successfully Launches Spy Satellite - A SpaceX Falcon rocket lifted off from the Kennedy... https://t.co/7NMkko9VJa'
861303935847542785,2017-05-07 19:37:15,"b""Elon Musk's 10 Craziest Quotes of 2016 | Inverse https://t.co/NabbDfhQuD"""
861197256262909956,2017-05-07 12:33:20,"b""SpaceX's plan to blanket the world in internet - But many people around the world don't have one, something tha... https://t.co/tuA7UFNXUp"""
861197256250281986,2017-05-07 12:33:20,"b""Elon Musk's SpaceX Launches Spy Satellite, Breaks Up Lockheed-Boeing Stronghold https://t.co/rVpus7cW3e"""
861110226967289856,2017-05-07 06:47:31,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 6 May 2017 https://t.co/a3uF8ZY8jT'
861015905639288833,2017-05-07 00:32:43,"b'SpaceX is about to do something huge - SpaceX has accomplished some incredible things over its short industry, ... https://t.co/vwRtJhDQ09'"
861015905609945088,2017-05-07 00:32:43,b'SpaceX - Reputation power: 498. \xd0\x90\xd0\x90\xd0\x9a has a reputation beyond repute. Default. Quote: \xd0\x9f\xd1\x80\xd0\xb8 \xd1\x82\xd0\xb0\xd0\xba\xd0\xbe\xd0\xb9 \xd0\xbf\xd0\xbb\xd0\xbe\xd1\x82\xd0\xbd\xd0\xbe\xd1\x81\xd1\x82\xd0\xb8 \xd1\x81\xd0\xbf\xd1\x83\xd1\x82\xd0\xbd https://t.co/JhqpVtR1Q7'
860834498979786755,2017-05-06 12:31:52,"b'SpaceX Successfully Launches US Spy Satellite - Following stage separation, the first-stage booster will attemp... https://t.co/bdcwslyklW'"
860834470752137218,2017-05-06 12:31:46,b'SpaceX Wants to Launch a Series of Internet-Providing Satellites https://t.co/0LrlB2gRJJ'
860747505167978496,2017-05-06 06:46:11,b'NASA Spaceline Current Awareness List #747 5 May 2017 (Space Life Science Research Results) https://t.co/oInjPgLlHy'
860657294761177088,2017-05-06 00:47:43,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 5 May 2017 https://t.co/sgX3bypOQR'
860654232353087488,2017-05-06 00:35:33,"b'Judge Dismisses SpaceX Defamation Lawsuit - Judge Dismisses SpaceX Defamation Lawsuit. May 5, 2017. A judge dis... https://t.co/b70zFlEoeQ'"
860654232340504576,2017-05-06 00:35:33,b'SpaceX to start launching 4000-plus broadband internet satellites in 2019 https://t.co/O0MUglzJ0q'
860566395007979521,2017-05-05 18:46:31,b'NASA SOFIA Cycle 6 Call for Proposals - NASA SOFIA Cycle 6 Call for Proposals https://t.co/x1tKMGIzZW'
860475755716911104,2017-05-05 12:46:21,b'UrtheCast Announces Voting Results of 2017 Annual General Meeting https://t.co/GdXjWE3rTh'
860472559636271105,2017-05-05 12:33:39,"b'BDB: Puerto Rico is broke as a joke, happy Cinco de Drinko and SpaceX = our hero https://t.co/IAN1L4yo0m'"
860472559539826691,2017-05-05 12:33:39,b'SpaceX successfully launches its first national security satellite https://t.co/Fkh9RPlPf7'
860385250899369986,2017-05-05 06:46:43,"b'NASA News Conference, Media Availability with Next Space Station Crew https://t.co/aag09V1CfJ'"
860296543756324866,2017-05-05 00:54:14,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 4 May 2017 https://t.co/emXEmKsnOp'
860291839429156864,2017-05-05 00:35:32,b'SpaceX Backer Valor Equity Partners Looks to Raise $750M For Its Fourth Fund https://t.co/QblC0KxgqO'
860291838976065537,2017-05-05 00:35:32,b'Space X Installs Antenna to Track Future Missions - NEAR BROWNSVILLE \xe2\x80\x93 Construction of the Space X site near Bo... https://t.co/NCu5s8gqMH'
860204097470963717,2017-05-04 18:46:53,"b""Falkland Islands basin shows signs of being among world's largest craters https://t.co/XyVjpycYuS"""
860109974265090049,2017-05-04 12:32:52,"b""Elon Musk's SpaceX to bring satellite internet in 2019 - SpaceX wants to launch satellite internet in 2019 with... https://t.co/WvrZEe290j"""
860109974042705920,2017-05-04 12:32:52,"b""Elon Musk's SpaceX plans to send the first of its 4425 super-fast https://t.co/TgQrijis0s"""
859933231898034176,2017-05-04 00:50:33,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 3 May 2017 https://t.co/RJ4Auizgkf'
859929136634220545,2017-05-04 00:34:17,b'SpaceX wants to launch its internet satellite system in just two years https://t.co/1I4KvjIWUw'
859929136059568134,2017-05-04 00:34:17,"b""Now trending: SpaceX launch and building a giant mousetrap - For the past couple months I've been sharing my fa... https://t.co/oeVNcrbSIX"""
859841535202000897,2017-05-03 18:46:11,b'NASA: Lunar Surface Cargo Transportation Services Request for Information (RFI) https://t.co/mG2cMzRKy1'
859747854247763969,2017-05-03 12:33:56,"b""SpaceX's Chef Says Feeding Brainiacs Isn't Rocket Science - On one hand, Ted Cizma sees himself as the chef of ... https://t.co/8x4qmiGmPs"""
859747854012874753,2017-05-03 12:33:56,"b""The Boring Company Update: Elon Musk Outlines Tunnel Plan to Ease 'Soul-Destroying' LA Traffic https://t.co/Q98M5P2iyz"""
859661093320499200,2017-05-03 06:49:11,b'Joint USAF/NOAA Solar Geophysical Activity Report and Forecast 2 May 2017 https://t.co/br6rHlNJ5b'
859566770591604736,2017-05-03 00:34:22,"b""Video: Small California School to Race in SpaceX's Hyperloop Competition https://t.co/brH34pAnZQ"""
859566770557988864,2017-05-03 00:34:22,"b""SpaceX Ventures 'Into the Black' with Classified NROL-76 Mission https://t.co/eCDK74V2Do"""
