id,created_at,text
861995651290279936,2017-05-09 17:25:53,b'@PBEMADDY Nope!'
829107237066985472,2017-02-07 23:19:04,"b'Our site is temporarily down due to switching servers. But never fear, it shall be back soon! #notdead'"
816049348572123137,2017-01-02 22:31:40,b'@PBEMADDY There are plans that cannot yet be revealed\xe2\x80\xa6.'
811633804238426112,2016-12-21 18:05:53,"b'Happy Winter Solstice, travelers! Here\xe2\x80\x99s wishing you a great holiday, whatever you celebrate in the next few days. https://t.co/xQzTts5lVM'"
806306493435777024,2016-12-07 01:17:03,b'@PBEMADDY It\xe2\x80\x99s Circe! https://t.co/bFMAmqgN50'
806217811999617024,2016-12-06 19:24:39,b'Awesome trailer with a familiar face from Season 1! ;) https://t.co/2UN9CHvHgz'
792479981586616320,2016-10-29 21:35:25,"b'Happy Halloween, Travellers! https://t.co/BvqowuNfjy'"
788054796838187009,2016-10-17 16:31:19,"b'Happy Halloween, Travellers. But stay tuned\xe2\x80\xa6 https://t.co/1ouGcFtcKw'"
782401003240828928,2016-10-02 02:05:10,b'ICYMI: Season 3 Update! https://t.co/amsDJ69rhp'
782281215189528576,2016-10-01 18:09:10,b'Season 3 Update! https://t.co/YkElxKFWE3'
781891365907099648,2016-09-30 16:20:03,"b'just whEN it seems yOur journey is on rails, you geT unexpeCtedly sidetracked and lOst... https://t.co/JwJEps47Tc'"
781595562088857600,2016-09-29 20:44:38,b'The road less travelled often beCOmes thE fiNal rOad travelled\xe2\x80\xa6 https://t.co/iexe236pP8 https://t.co/WyypUAvdhZ'
781279439032229888,2016-09-28 23:48:28,"b'@PBEMADDY Well, one of them is on a plane right now\xe2\x80\xa6'"
781238199121121285,2016-09-28 21:04:36,b'@rowan72 Things aren\xe2\x80\x99t always as they first seem\xe2\x80\xa6'
781214531787722752,2016-09-28 19:30:33,b'@Ari0ck Breaking Internal Puzzle Logic\xe2\x80\xa6'
781210139172798465,2016-09-28 19:13:06,b'Things Can be needful Once onE Needs tO need them\xe2\x80\xa6 https://t.co/Z0vCsHfvj8'
780982474860032000,2016-09-28 04:08:26,b'The last surviving photo of the Dark Detour 3 team... https://t.co/QZRbzcCcCT'
780617882128359424,2016-09-27 03:59:40,"b'@PBEMADDY indeed, one can\xe2\x80\x99T be too Careful where One might End up, caN One?'"
769317108404617216,2016-08-26 23:34:26,b'@PBEMADDY We will be able to announce something very soon!'
766851879170998272,2016-08-20 04:18:30,"b""What's that in the road, a head? Stay tuned... https://t.co/Upk3ZNFrj9"""
760252363030401025,2016-08-01 23:14:22,"b'@geologylady We do enjoy it! That is, the one time of day when a sliver of sunlight comes in through the grate\xe2\x80\xa6.'"
760251782488465408,2016-08-01 23:12:04,"b'@geologylady Meanwhile, we\xe2\x80\x99re working hard down here\xe2\x80\xa6..stay tuned.'"
760250997058867200,2016-08-01 23:08:57,b'@geologylady One never knows the type of journey that can be detoured from\xe2\x80\xa6'
760200310807638016,2016-08-01 19:47:32,b'Looks like we have a fellow traveler on the crew of The Last Ship\xe2\x80\xa6 https://t.co/H9bD26IvwL'
758465187061993472,2016-07-28 00:52:46,b'@PBEMADDY We\xe2\x80\x99re looking at all sorts of\xe2\x80\xa6interesting options at this point.'
758420262752628737,2016-07-27 21:54:16,"b'@rowan72 @vpisteve I think you\xe2\x80\x99re crossing the brand stream, here\xe2\x80\xa6'"
758365974504452096,2016-07-27 18:18:32,"b'ATTENTION TRAVELERS: Dark Detour Season 3 is looking for sponsors! If you know of anyone who might be a good fit, hit us up!'"
756728174231203840,2016-07-23 05:50:30,b'@Pixieyelsraek Well\xe2\x80\xa6almost no one. ;)'
756726068174659584,2016-07-23 05:42:08,"b'If you\xe2\x80\x99re a horror fan, this will interest you. Turns out the movie The Woods, is actually Blair Witch. ;) https://t.co/iXOQ9thIa4'"
755456433068453889,2016-07-19 17:37:04,"b'\xe2\x80\xa6it\xe2\x80\x99s just that, we\xe2\x80\x99re sitting on some pretty cool things going on with DD, but can\xe2\x80\x99t quite share them yet. STAY TUNED\xe2\x80\xa6.'"
755443575895134208,2016-07-19 16:45:58,"b'Hello, Travellers. Remember us?'"
751112147673812992,2016-07-07 17:54:25,b'The 40 Greatest Movie Jump Scares! https://t.co/NdTEV3j7bL'
745139026743558145,2016-06-21 06:19:22,b'Look out your window and tell me it doesn\xe2\x80\x99t make you think of Talbot. Or Jack. #RIP #WhosNext'
736384727691628544,2016-05-28 02:32:55,"b'You need to try this out, travellers\xe2\x80\xa6if you dare. https://t.co/YThOAYXexb'"
727976281199935489,2016-05-04 21:40:45,"b'Thanks for the input, everyone! This was FANTASTIC! :)'"
725366481983152128,2016-04-27 16:50:20,"b'ICYMI, Please take our survey to help us make Season 3 a reality! Thanks! (participants of Season 1/2 only) https://t.co/aTPEfCPc1n'"
725191002453999616,2016-04-27 05:13:03,"b'If you took part in Season 1 or 2, please take a moment to take our survey! We want to make Season 3 amazing! Thanks https://t.co/aTPEfCPc1n'"
