id,created_at,text
862071071712976896,2017-05-09 22:25:34,b'Middleton Robotics honored by Hillsborough County School Board #omgrobots @FIRSTinFlorida https://t.co/UODYAUuDVm'
861198931874779136,2017-05-07 12:40:00,b'Minotaur head now breathes smoke #omgrobots @MiddletonSTEM @FIRSTinFlorida https://t.co/Q1XlHGqrDv'
860226981115432961,2017-05-04 20:17:49,b'Exodia has made its journey back from Houston #omgrobots @MiddletonSTEM @FIRSTinFlorida https://t.co/365GyEYYzN'
856678372931457025,2017-04-25 01:16:55,b'Minotaur shows unique Rope System &amp; Powerful Climber https://t.co/XoXYmX74F0 @RoboticCompNews  @MiddletonSTEM @FIRSTinFlorida #omgrobots'
856145090645045248,2017-04-23 13:57:50,b'@Team5412 Minotaur is so proud of our Sr Mentor Rich Berglund for being named FLL Volunteer of Year @MiddletonSTEM\xe2\x80\xa6 https://t.co/6YJ9pXzaYM'
856144336706252801,2017-04-23 13:54:50,"b'RT @Team5412: Awesome! Rich, one of our Florida friends and mentor for @FRC1369Minotaur just won Volunteer of the Year ! Congrats! #omgrobo\xe2\x80\xa6'"
850308175622537216,2017-04-07 11:24:01,b'We mourn loss of alumni parent/supporter. RIP Paul Oneill @trans_siberian #omgrobots @MiddletonSTEM @FIRSTinFlorida https://t.co/51Tifdqoio'
847813452328574976,2017-03-31 14:10:53,"b""Our future Alliance Partner caught our Loader catching Dino zzz's #omgrobots @MiddletonSTEM Day 2 RCR https://t.co/bBgbVOi6Mp"""
847812827758960640,2017-03-31 14:08:24,"b""Minotaur's Loader gets caught catching Dino zzzz's Day 2 of RCR!! @MiddletonSTEM @FIRSTinFlorida #omgrobots\xe2\x80\xa6 https://t.co/keKbLZ14Eh"""
847808332970721285,2017-03-31 13:50:32,b'Thanks to our sponsor Cardio Command for helping us compete #omgrobots @MiddletonSTEM @FIRSTinFlorida\xe2\x80\xa6 https://t.co/iW8fK6Ttpw'
847807519976280064,2017-03-31 13:47:18,b'Thanks to our sponsor @SME_MFG for helping us compete #omgrobots @MiddletonSTEM @FIRSTinFlorida #firststeamworks https://t.co/IJNonyDrAH'
847807010951352320,2017-03-31 13:45:17,b'Thanks to our sponsor @bamafla for helping us compete #omgrobots @MiddletonSTEM @FIRSTinFlorida #firststeamworks https://t.co/dR6AxbzPrf'
846077770623057920,2017-03-26 19:13:54,b'@FRCTeam343 @Lightning_Bots  We had a great time!!'
845226990680625153,2017-03-24 10:53:12,"b'Our Loader, Gavin gets tips from @leebrice #RocketCityRegional @FIRSTinAlabama @MiddletonSTEM #omgrobots\xe2\x80\xa6 https://t.co/49HSRJN3S5'"
838884757752664065,2017-03-06 22:51:26,"b""1st climb Palmetto 2.8 sec . We're ready to compete @FIRSTinAlabama RCR #omgrobots @FIRSTinFlorida @MiddletonSTEM https://t.co/WOCKbtgXX9"""
834457134293200897,2017-02-22 17:37:38,"b'RT @Modern_Robotics: Free stuff? Yes, please. Retweet for a chance to win a #MRLimitSwitch kit the following three Thursdays! Cable and mou\xe2\x80\xa6'"
834456735704313856,2017-02-22 17:36:03,"b'""Exodia"" in bagged &amp; ready to compete in #PalmettoRegional &amp; #rocketcityregional @FIRSTinAlabama @FIRSTinFlorida\xe2\x80\xa6 https://t.co/6KnYCb5hiy'"
832031535322820608,2017-02-16 00:59:11,b'Our robot practices safety - does yours? #omgrobots #firststeamworks @FIRSTinFlorida @MiddletonSTEM https://t.co/NXch048rAV'
830596206510428160,2017-02-12 01:55:42,b'Build season in Florida = visitors like a Skink in our gearbox #omgrobots #firststeamworks @FIRSTinFlorida\xe2\x80\xa6 https://t.co/pinDi6KrOY'
826614969592606720,2017-02-01 02:15:41,"b'Congratulations to Todd Broseghini, winner of Tampa Bay Lightning Tix Raffle - Have Fun #omgrobots @MiddletonSTEM @FIRSTinFlorida'"
825415179521376257,2017-01-28 18:48:08,b'Bumper Time #omgrobots #firststeamworks @MiddletonSTEM @FIRSTinFlorida https://t.co/7PxtmQj27G'
823311006927556610,2017-01-22 23:26:55,b'2017 Team Photo just delivered by photographer. Minotaur is poised for #firststeamworks #omgrobots @MiddletonSTEM\xe2\x80\xa6 https://t.co/rgdJHDhxIa'
820358971236241408,2017-01-14 19:56:34,b'Minotaur leadership in deep thought #omgrobots #firststeamworks @FIRSTinFlorida @MiddletonSTEM https://t.co/bNCEV8dqLn'
812659618526728192,2016-12-24 14:02:06,"b""RT @Actobotics: Retweet &amp; tag another @FTCTeam &amp; you're both entered to win a set of our new wheels! https://t.co/vVduzRN4wf #omgrobots #ac\xe2\x80\xa6"""
812042237576093696,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/V3kyL1zEqW Palmetto Q70'
812042237559406592,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/EQDrgS0JCG Palmetto Q20'
812042237462904832,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/vJVzxRsszg Palmetto Quarterfinals 2'
812042237446078465,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/Hs67kIRFL8 Palmetto Q29'
812042237446066176,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/4aKhgzjYw7 Palmetto Q52'
812042237441929216,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/Scxf5Mazar Palmetto Q79'
812042237433544704,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/5r19YAGDKM Palmetto Finals 1'
812042237433540608,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/cOeIIZNGdP Palmetto Q42'
812042237433495553,2016-12-22 21:08:51,b'I added a video to a @YouTube playlist https://t.co/36pM2wmQQp Palmetto Q8'
812042234455588865,2016-12-22 21:08:50,b'I added a video to a @YouTube playlist https://t.co/vA1l1D0dwH Palmetto SemiFinal 2'
812042233922854912,2016-12-22 21:08:50,b'I added a video to a @YouTube playlist https://t.co/gACZJwElQX Palmetto SemiFinals 3'
812042233167888384,2016-12-22 21:08:50,b'I added a video to a @YouTube playlist https://t.co/xcNrJ8PXdu Palmetto QuartersFinals 1'
812042232433954816,2016-12-22 21:08:49,b'I added a video to a @YouTube playlist https://t.co/VXB1of5anc Palmetto Q64'
812033891087351808,2016-12-22 20:35:41,b'Thanks to @FRCBacon1902 for helping our Team Captain Erin show she FIRSTs #FIRSTLIKEAGirl #omgrobots @MiddletonSTEM\xe2\x80\xa6 https://t.co/Gr4tq4EyWm'
811952813563584512,2016-12-22 15:13:30,b'Thanks to sponsors @SuncoastCU &amp; @FloridaSigns4u our team trailer receives makeover. #omgrobots @MiddletonSTEM\xe2\x80\xa6 https://t.co/WDEl1YGbCO'
807326634412044288,2016-12-09 20:50:43,"b""Minotaur's having fun at gift exchange. #omgrobots @MiddletonSTEM @FIRSTinFlorida https://t.co/LWr6sQtH9a"""
805457434785546244,2016-12-04 17:03:11,b'Winner of @Bob_Layton signed Iron Man print Bill @Deaddrop  was excited as any kid-maybe more!!  @MiddletonSTEM\xe2\x80\xa6 https://t.co/uYMp4ikyMm'
805086682458521600,2016-12-03 16:29:57,b'Hanging out at Minotaur Madness FLL Tourney @MiddletonSTEM #omgrobots @FIRSTinFlorida @suncoastfll https://t.co/LF8D07emCV'
801098545973563397,2016-11-22 16:22:31,"b'When Minotaur needs a welder, our girls take the lead #omgrobots @MiddletonSTEM @FIRSTinFlorida https://t.co/RGNlEfiG44'"
801017689917554688,2016-11-22 11:01:14,"b'Our 2017 Safety Video is complete - We are now #FIRSTSteamworks safe , https://t.co/4oTi4QKPH1 @MiddletonSTEM @FIRSTinFlorida #omgrobots'"
800791144976162816,2016-11-21 20:01:01,b'I added a video to a @YouTube playlist https://t.co/g06pUK25MX Safety Video 2017 Final'
800022495810166784,2016-11-19 17:06:41,b'@MiddletonSTEM students working @brickworld outreach event #omgrobots @FIRSTinFlorida https://t.co/XinKl5ZK7E'
800022126157844482,2016-11-19 17:05:13,b'Outreach is fun @brickworld @MiddletonSTEM #omgrobots @FIRSTinFlorida https://t.co/4jtpTPwij0'
797048843535785985,2016-11-11 12:10:27,"b""Our Mentors who served our country. Once USMC, USA, USAF, USN, USCG - now we're all MINOTAUR  @MiddletonSTEM\xe2\x80\xa6 https://t.co/73thAYFlTv"""
793537700821426176,2016-11-01 19:38:25,b'Demo with @MarkSharpeFL @TampaInnovation event with https://t.co/nV6mT0kMXp  @MiddletonSTEM #omgrobots'
793514864337707011,2016-11-01 18:07:41,b'I just supported Middleton Magnet High School STEM Booster ... by shopping @AmazonSmile. #YouShopAmazonGives https://t.co/xVux6k5QAc'
791657138632417280,2016-10-27 15:05:44,b'I just supported Middleton Magnet High School STEM Booster ... by shopping @AmazonSmile. #YouShopAmazonGives https://t.co/R7GARYtb1Q'
791404771043381248,2016-10-26 22:22:55,b'Met some friends at the @TampaInnovation  demo. @MiddletonSTEM #omgrobots https://t.co/U3ZrSdBij4'
789909931122196480,2016-10-22 19:22:58,b'Robotics leads the way to celebrate manufacturing @MiddletonSTEM @mfgeducation #omgrobots #firststeamworks\xe2\x80\xa6 https://t.co/Vwaz80WApd'
