id,created_at,text
860520401226608641,2017-05-05 15:43:46,b'@elonmusk How about naming the first one Hans Bjelke?'
857814993668067329,2017-04-28 04:33:26,b'@cogranregisters @SportTechAwards Congratulations! Well deserved.'
847219266894123008,2017-03-29 22:49:48,b'@ClemsonTom Nice work!'
847188604409589761,2017-03-29 20:47:57,b'RT @martysimpson: I am going to lose my mind this weekend! @GamecockMBB #FinalFour\n#Gamecocks https://t.co/LIvSmtlb3w'
846774574192713729,2017-03-28 17:22:45,b'GAMECOCK JESUS to the FINAL FOUR https://t.co/Fxb7M9eKli'
846476835168890884,2017-03-27 21:39:38,"b""Good luck! @dawnstaley @GamecockWBB We're already proud of you, now get yourselves that Championship!"""
846476268241653763,2017-03-27 21:37:23,b'RT @GamecockWBB: Remember us? Built from our purpose. Defined by our journey. #Gamecocks @dawnstaley https://t.co/HhT7NTBo5t'
846146787090059264,2017-03-26 23:48:09,b'RT @DylanPThompson: Best University president out there! https://t.co/lO05z9kZkO'
846146378946543616,2017-03-26 23:46:32,"b'@ClemsonTom Congrats on your awesome (2nd) NCAA Football Championship! But we are only current SEC team with ACC Championships, any sport.'"
846145726153457665,2017-03-26 23:43:56,"b'@ClemsonTom Also, might throw in the back to back finals in 2 ACC Tournaments, ending in our 1971 ACC Tournament Championship over UNC.'"
846144533536657409,2017-03-26 23:39:12,"b""@ClemsonTom For men's basketball for sure. In no order, '69 ACC Football championship, Ladies Final 4, and back to back CWS championchips."""
844288312227573766,2017-03-21 20:43:14,"b""@ClemsonTom From your mouth to God's ear. Really depends upon Baylor's offensive scheme. We've proven we can score 62 in a half against Duke"""
813819656913977345,2016-12-27 18:51:40,"b""RT @robotiberia: On the way with this bot to @GetYourBotOn @WE_Toronto meetup to talk about @NASAPrize and what I'm up to!! https://t.co/xQ\xe2\x80\xa6"""
813819614475980800,2016-12-27 18:51:30,b'RT @MilesSpace: Rest in peace @carrieffisher. May the force be with you. always. https://t.co/FD6HL4ozOO'
812794388862607365,2016-12-24 22:57:37,"b'Yessss! I am now a proud patron of Simone Giertz on @Patreon, and you should be too: https://t.co/hv6wEWgG1H'"
807340765710024705,2016-12-09 21:46:52,b'RT @bestonline: Dealing with #hostgator outage. Just like 2014 all over again.'
807340752292499456,2016-12-09 21:46:49,b'RT @iRahulJadhav: Is your site hosted on @HostGator down too? #Hostgator'
804117528624693248,2016-12-01 00:18:53,b'RT @usaepay: FirstData Nashville connectivity is back.'
804075372849545216,2016-11-30 21:31:22,b'RT @BP_Hutch: This is easily my favorite picture from the launch of Apollo 11. https://t.co/Llr4Ivufhp'
803318626665267200,2016-11-28 19:24:20,b'@ClemsonTom Nice win man. Kick some ass in the playoffs!'
803318344728383492,2016-11-28 19:23:12,b'RT @MilesSpace: We think that @BP_America would be a great partner with @MilesSpace ! What do you think @douglas_dryan88 ? @NASAPrize https\xe2\x80\xa6'
803315850107297792,2016-11-28 19:13:18,"b'RT @GamecockWSoccer: ""I want to thank this team and fans for what they\'ve done this season. It\'s been an incredible experience."" - @SoccerS\xe2\x80\xa6'"
803315799108833281,2016-11-28 19:13:06,b'RT @GamecockWSoccer: 51 Goals \xe2\x9a\xbd\xef\xb8\x8f\n21 Wins \xf0\x9f\x91\x8f\n0.41 Goals Against Average \xf0\x9f\x91\x8a\n\nThe #Gamecocks rewrote their record book in 2016.\n\n#ForeverToThee\xe2\x80\xa6'
800784043663097856,2016-11-21 19:32:48,b'RT @SpursFeathers: .@MasonZandi is going to be successful in whatever he does in life. Guy gets it and then some. #Gamecocks'
800784023316533248,2016-11-21 19:32:43,"b'RT @SpursFeathers: .@MasonZandi opens press conference by making sure to say ""I just want to say thank you to all @GamecocksOnline fans"" #G\xe2\x80\xa6'"
800783928021884929,2016-11-21 19:32:20,"b""RT @collynptaylor: Perry Orth and Mason Zandi's last home alma mater ever. #Gamecocks #CampusRush https://t.co/cyncR3VEMp"""
800783864742416384,2016-11-21 19:32:05,b'RT @Cocky2001: #RivalryWeek #BeatClemson \xf0\x9f\x90\x94&gt;\xf0\x9f\x90\xaf https://t.co/qUDQKw6KIl'
800782869287370752,2016-11-21 19:28:08,b'RT @coacht18: That was a fun day. Hoping for a repeat this Saturday. Go GCOCKS... https://t.co/OmNVggji3y'
800782684419198976,2016-11-21 19:27:24,"b""RT @RedSox: 13 assists and a .992 fielding percentage aren't too shabby... Thanks for taking care of CF, @JackieBradleyJr! https://t.co/HPe\xe2\x80\xa6"""
800781659696197633,2016-11-21 19:23:20,b'RT @GamecockWSoccer: We need YOU Friday as we take on UNC in the battle of the Carolinas with a trip to the College Cup on the line!\n\n\xf0\x9f\x8e\x9f: ht\xe2\x80\xa6'
795726661178232832,2016-11-07 20:36:34,b'RT @GamecockWSoccer: REMINDER | The #NCAASoccer Selection Show takes place today at 4:30 ET on https://t.co/7q3mGed0EO. #Gamecocks https://\xe2\x80\xa6'
791748380888276993,2016-10-27 21:08:18,"b'@ClemsonTom Enjoy, and #BeatFSU'"
790766272774569984,2016-10-25 04:05:45,"b'RT @GamecockWSoccer: The GARNET lights atop capstone! \n\nThank you Mr. President for this recognition, we appreciate it more than you know!\xe2\x80\xa6'"
790729972772200448,2016-10-25 01:41:31,b'RT @MarkSharpeFL: https://t.co/95CI53GbWx'
790729648757993472,2016-10-25 01:40:13,"b'RT @MarkSharpeFL: Tampa Team Takes First - NASA Awards $30,000 to Top 5 Teams in Third Round of Cube Quest Challenge https://t.co/ximP7PzYMt'"
790728541486903296,2016-10-25 01:35:49,"b""RT @tabinfl: Congratulations @MilesSpace ! Love @NASA's #CitizenScience, love even more that my @HackTampa friends are rockin' it! https://\xe2\x80\xa6"""
790697156701261829,2016-10-24 23:31:07,"b""RT @evrobinson21: SEC Champs \xf0\x9f\x92\x8dcouldn't have asked for a better senior class to play with these past 4 years #fyb #gogamecocks @GamecockWSoc\xe2\x80\xa6"""
790683803618541568,2016-10-24 22:38:03,b'RT @tracyingram: Great Job @MilesSpace for rocking it in the @cubequest Challenge https://t.co/nk4bxRfzX1'
790676999077494785,2016-10-24 22:11:01,"b'NASA Awards $30,000 to Top 5 Teams in Third Round of Cube Quest Challenge https://t.co/Sf5ZMnyqVu'"
790671345533251584,2016-10-24 21:48:33,"b""@ctrawick Actually, it's published! https://t.co/AMG3JnMtFm"""
790548891984859136,2016-10-24 13:41:58,"b""RT @GamecockWSoccer: Here are the champs! \n\nThe #Gamecocks earn the program's 3rd SEC Title and first since 2011. #ForeverToThee https://t.\xe2\x80\xa6"""
789164370001432579,2016-10-20 18:00:22,b'@ClemsonTom https://t.co/1IJsIdmKpU'
788874789662457856,2016-10-19 22:49:41,b'#debate https://t.co/w0mCJD3xSw'
788873827489026049,2016-10-19 22:45:51,b'Presidential Debate Drinking Game https://t.co/dMKk15WlSC'
788513946164662272,2016-10-18 22:55:49,b'RT @TinaMarieSa: #TellCanadaThankYou because #TellAmericaItsGreat honestly made my week \xf0\x9f\x98\xa2'
788513891043147776,2016-10-18 22:55:36,b'RT @Jillsoley: Thx @Canada @thegardenvoice for #TellAmericaItsGreat - America IS great but divided &amp; negative. We need the reminder &amp; posit\xe2\x80\xa6'
788513360837042176,2016-10-18 22:53:29,b'RT @Basceaux: New Goal: Be the America that Canada thinks we are. #TellAmericaItsGreat #TellCanadaThankYou'
788512651873845248,2016-10-18 22:50:40,b'RT @jill_doylee: Let me know what we did to deserve Canada #tellcanadathankyou \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xe2\x9d\xa4\xef\xb8\x8f\nWatch: #tellamericaitsgreat https://t.co/HAhZnGOdqL'
788512598161559552,2016-10-18 22:50:27,b'RT @ncsumarit: In the midst of our election fun America needs some positivity right now-- and we got it from Canada. &lt;3 #tellcanadathankyou'
788512584366485504,2016-10-18 22:50:24,b'RT @ashleymb1984: #TellAmericaItsGreat has me in tears. #ThankYouCanada #TellCanadaThankYou'
788512561318756358,2016-10-18 22:50:19,b'RT @krista_garrison: #tellamericaitsgreat is the most stereotypical Canadian thing ever. AND I LOVE IT \xf0\x9f\x98\x82 canada is the best #tellcanadathan\xe2\x80\xa6'
788511104330821632,2016-10-18 22:44:31,"b""RT @JulieHarden: I'd like to #tellcanadathankyou for sending a a big group hug and warm casserole through the #TellAmericaItsGreat hashtag.\xe2\x80\xa6"""
788511024903233536,2016-10-18 22:44:12,b'Thank you @thehillsinhd ! #tellcanadathankyou'
788510933425545217,2016-10-18 22:43:51,b'Thank you @zenara4 !   #tellcanadathankyou'
788510777149911040,2016-10-18 22:43:13,b'Thank you @hellofrancy! #tellcanadathankyou'
788510530864570368,2016-10-18 22:42:15,b'@POTUS @FLOTUS @WhiteHouse How about some love for #Canada https://t.co/u9k2G2OD9d #tellcanadathankyou #TellAmericaItsGreat'
788508008418512897,2016-10-18 22:32:13,b'#TellAmericaItsGreat #TellCanadaThankYou from @MyMyrtleBeach Thank you!'
788507806429216772,2016-10-18 22:31:25,b'RT @BrendaGisele69: #Canada is the best friend we take for granted. No matter the situation is always there. #TellCanadaThankYou https://t.\xe2\x80\xa6'
788507691635310592,2016-10-18 22:30:58,"b'RT @clayajohnson: Our neighbors to the north have started a Campaign to tell Americans that they like us! #TellAmericaItsGreat. Thanks, \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xe2\x80\xa6'"
788507674812047365,2016-10-18 22:30:54,"b""RT @LanceDFier: This is like a hug that we didn't even know we needed. Thanks Canada!! \n#TellAmericaItsGreat\n#TellCanadaThankYou\nhttps://t.\xe2\x80\xa6"""
788507587889229825,2016-10-18 22:30:33,"b'RT @NiferD: Massive thank you, Canada! Sometimes, we need to hear nice people use their kind words. #TellCanadaThankYou #TellAmericaItsGreat'"
788507572190019588,2016-10-18 22:30:29,b'RT @alexbirdlegs: I love Canada so much. #TellCanadaThankYou #TellAmericaItsGreat our neighbors to the North are stellar'
788507305117622272,2016-10-18 22:29:25,"b""RT @MewingKitten: #TellCanadaThankYou \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xe2\x9d\xa4\xef\xb8\x8f We in the \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 needed this...You're a great BFF. \xf0\x9f\x98\x98\xe2\x9d\xa4\xef\xb8\x8f Tell America It's Great - YouTube https://t\xe2\x80\xa6"""
788507163757056000,2016-10-18 22:28:52,b'RT @bentleymaja: Thanks @Canada for #TellAmericanItsGreat. This is one of the best social media trends in a long time. #TellCanadaThankYou\xe2\x80\xa6'
788507115925147648,2016-10-18 22:28:40,"b""RT @ramdonomo: Dear Canada, thanks for the cheering up - we kind of needed it. It's been a rough couple of months. #tellCanadathankyou \xe2\x99\xa5 Yo\xe2\x80\xa6"""
788507071113207808,2016-10-18 22:28:30,b'RT @SummerBrielle: This #tellamericaitsgreat thing started by Canada \xf0\x9f\x98\xad\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xe2\x9d\xa4\xef\xb8\x8f we needed that. #tellcanadathankyou'
788507047306362880,2016-10-18 22:28:24,b'RT @DeniseVlogs: You Canadians are so dang sweet!   https://t.co/SztEr3RQwL @gunnarolla @CoreyVidal @heynadine #TellCanadaThankYou #TellAme\xe2\x80\xa6'
788507025751756800,2016-10-18 22:28:19,"b""RT @KavyBotan: #TellAmericanItsGreat Canadians, you're such great neighbors! This has been a tough ugly year but we'll get through it. #Tel\xe2\x80\xa6"""
786672624315277317,2016-10-13 20:59:03,b'@JoshatTheState https://t.co/ZXFuT1QGfK'
786630966320128002,2016-10-13 18:13:31,"b""I'll be voting for @HillaryClinton in 2016, and I hope for @MichelleObama in 2020. Great speech!"""
784275966054965248,2016-10-07 06:15:36,"b""RT @GamecockWSoccer: South Carolina's No. 4 ranking in Tuesday's @NSCAA Top-25 Poll is the highest in #Gamecocks history! #ForeverToThee ht\xe2\x80\xa6"""
784247836930170880,2016-10-07 04:23:49,b'Congrats! @GamecockWSoccer @sophie_groff Team effort is a function of individual effort times players. #Gamecocks'
784246984593043456,2016-10-07 04:20:26,"b""RT @GamecockWSoccer: It's an historic result for the #Gamecocks!\n\nNo. 4 South Carolina tops MSU 1-0 to push its winning streak to a program\xe2\x80\xa6"""
784246926636089344,2016-10-07 04:20:12,b'RT @GamecockWSoccer: A gutsy effort on the road tonight for @GamecockWSoccer at MSU. Sometimes you just have to graft &amp; find a way. Proud o\xe2\x80\xa6'
784207675190018048,2016-10-07 01:44:14,"b'RT @JoshatTheState: Yes, do this. Please https://t.co/Ch9w934y6t'"
784176812830101504,2016-10-06 23:41:36,b'The No. 4 #Gamecocks and Bulldogs get underway in 20 minutes.\n\n\xf0\x9f\x93\xba (SEC Network+): https://t.co/Z9gCUG92HE \n\xf0\x9f\x93\x88: https://t.co/O59CGXRYZM'
784174116031037440,2016-10-06 23:30:53,b'@JoshatTheState I think they can go as late as 1pm tomorrow.'
784171191611326464,2016-10-06 23:19:15,"b'RT @JoshatTheState: Alas, he does not https://t.co/wgHXWBafHc'"
784156750849146880,2016-10-06 22:21:52,b'RT @JoshatTheState: Copy and paste what I said on the last one of these. https://t.co/fNq5WYNqGY'
784142232735649792,2016-10-06 21:24:11,b'RT @SCEMD: Gov. @NikkiHaleyhas announced evacuation of additional areas in Jasper &amp; Colleton counties (zone B). Residents should evacuate i\xe2\x80\xa6'
784120942851137537,2016-10-06 19:59:35,"b'RT @LSUfootball: CORRECTION: #LSU game at Florida scheduled for Oct. 8 in Gainesville, Fla., officially ""postponed.""'"
784119269948809216,2016-10-06 19:52:56,b'@JoshatTheState Doubtful.'
784102169486168064,2016-10-06 18:44:59,b'@JoshatTheState lol. Other than the SEC Championship Game?'
784071865488773120,2016-10-06 16:44:34,b'@JoshatTheState  Did you know that @CofC students are staying in the Columbia dorms?'
784060423683371008,2016-10-06 15:59:06,"b""RT @GamecockWSoccer: It's Matchday, #Gamecocks!\n\nNo. 4 South Carolina battles @HailStateSOC tonight on the road in search of its 12th-strai\xe2\x80\xa6"""
784060360093564928,2016-10-06 15:58:51,"b""RT @GamecockWSoccer: Presenting today's \xe2\x9a\xbd\xf0\x9f\x8e\xbe Champions!\n\nThe No. 4 #Gamecocks and Mississippi State kick off at 8 p.m. ET on MSU Soccer Field\xe2\x80\xa6"""
784060041603256324,2016-10-06 15:57:35,b'Great live chat with @JoshatTheState . #Gamecocks'
783853755666206720,2016-10-06 02:17:53,"b""@klustout @pewglobal Is there any reason not to show the 2nd chart?  You know, then one that shows using China's po\xe2\x80\xa6 https://t.co/b5OAqSFkHk"""
783850892747542529,2016-10-06 02:06:30,"b'RT @nikkihaley: For anyone in SC who missed our last #HurricaneMatthew emergency update, please tune in, here: https://t.co/FEgulEBSiI'"
783844814760607744,2016-10-06 01:42:21,"b'@martysimpson I know you have an awesome show this week, any comments on the #Gamecock have to deal with both the Bulldogs and Hurricane[s]?'"
783843468019892224,2016-10-06 01:37:00,"b""Is a Louisville fan really asking this question? Hell, they're lucky Petrino gets to travel on away games without a\xe2\x80\xa6 https://t.co/XCfedryE6Y"""
783842662550036480,2016-10-06 01:33:48,b'RT @GamecockWSoccer: PREVIEW | No. 4 #Gamecocks face @HailStateSOC on the road Thursday night - https://t.co/IpI9eAFqD3 https://t.co/9LmUvM\xe2\x80\xa6'
