id,created_at,text
863189081261563904,2017-05-13 00:28:08,"b'RT @WeAreGoFL: 3 days until a @SpaceX takes flight, lighting up the Florida evening sky! #inmarsat5 https://t.co/oi1pKpF8gZ'"
863187849562267649,2017-05-13 00:23:15,b'RT @doerremathclub: Christopher Price and his spinners! https://t.co/UYu0NYnXPK'
863187773699874818,2017-05-13 00:22:57,"b""RT @nova_road: Me regarding #SpaceX and Trump's wish to send humans around the Moon by 2019. Published Monday in the @observer. https://t.c\xe2\x80\xa6"""
863084892791472132,2017-05-12 17:34:08,b'@DrKulhanek We made a sale!! https://t.co/Qj8VEixqIu'
863075949633568768,2017-05-12 16:58:36,b'@DrKulhanek Christopher is at Comicpalooza today. https://t.co/1XpCg3uFDy'
863059805707132928,2017-05-12 15:54:27,b'.@DoerreKISD @Comicpalooza  https://t.co/0T1S86HR0M'
863059626509705217,2017-05-12 15:53:44,b'Christopher from @DoerreKISD is at @Comicpalooza selling his home made spinners https://t.co/DbgmKC1EJM'
862127454441406465,2017-05-10 02:09:37,"b'RT @SpaceAngels: New article published - Cold Surface, Hot Market: Commercial Lunar Gaining Traction - read more here https://t.co/JUUmzWMy\xe2\x80\xa6'"
861487660392620032,2017-05-08 07:47:18,b'RT @DrKulhanek: Math skills can save your life! @DoerreKISD @KleinISDMath https://t.co/GQ6bpKiK86'
861487633385390080,2017-05-08 07:47:12,b'RT @DrKulhanek: Math can save a life during search &amp; rescue @DoerreKISD @KleinISDMath https://t.co/5bfTmuZWkx'
861487616075603968,2017-05-08 07:47:07,b'RT @DrKulhanek: Do the math! It can save two ships from colliding! \xf0\x9f\x9a\xa2\xf0\x9f\x9b\xb3@DoerreKISD @KleinISDMath @KleinISD_CTE https://t.co/xySEa6T9TS'
861487597616373760,2017-05-08 07:47:03,b'RT @DrKulhanek: Using math as a pilot to create an accurate fuel plan @KleinISDMath @AlexCol28420468 @DoerreKISD https://t.co/MQMPlx306e'
859173327667154944,2017-05-01 22:30:58,"b'RT @virgingalactic: Image from today VSS Unity flies in the feather configuration, testing out the vehicle\xe2\x80\x99s re-entry system. Read More: ht\xe2\x80\xa6'"
859173147148464130,2017-05-01 22:30:15,b'RT @ChrisAstro: Launch of the Falcon 9 rocket with the NROL-76 payload for the National Reconnaissance Office! #SpaceX #Falcon9 #NROL76 #NR\xe2\x80\xa6'
859173081369235457,2017-05-01 22:29:59,"b'RT @NatReconOfc: Congratulations to the #NROL76 team, including @SpaceX and @45thSpaceWing on a successful launch! https://t.co/4BwyHiegsH'"
859029667097055232,2017-05-01 13:00:07,"b'RT @SpaceAngels: Also a lot of opportunity in new markets like in-space manufacturing, space resources/mining, and planetary mkts. We inves\xe2\x80\xa6'"
859028831696551938,2017-05-01 12:56:48,"b'RT @jeff_foust: Also, for comm\xe2\x80\x99l launch: the FAA\xe2\x80\x99s Office of Commercial Space Transportation gets $19.826 million, the $2M increase it soug\xe2\x80\xa6'"
859028725937184768,2017-05-01 12:56:22,b'RT @NASASpaceflight: Entry Burn....these are amazing views https://t.co/6DJHnNngto'
859028614330949632,2017-05-01 12:55:56,b'RT @SciGuySpace: And *that* is how you do spaceflight in the 21st century.'
859028552376877057,2017-05-01 12:55:41,"b'RT @Bob_Richards: With a triumphant double sonic boom, another flight proven rocket on the ground. Congrats @spacex! https://t.co/Mb3DorbrZb'"
859028510530293761,2017-05-01 12:55:31,"b""RT @mirikramer: Whoa, I don't think we've ever seen that view of the boostback burn #NROL76 #SpaceX https://t.co/BC7xAwAc6S"""
859028318787710976,2017-05-01 12:54:45,"b'RT @NASASpaceflight: GIF by ""cebri"" (https://t.co/VGhMvMYD98 ) SpaceX Falcon 9 1-2 Staging, Flip, boostback via long range camera. \xf0\x9f\x98\x8e https:\xe2\x80\xa6'"
858982308954730496,2017-05-01 09:51:56,"b'RT @elonmusk: @VoltzCoreAudio Yeah, will probably publish an update in six weeks or so'"
857993980075810816,2017-04-28 16:24:40,b'RT @JayWittner: European Space Agency &amp; China Planning Moon Village\nhttps://t.co/SErzIcmwIt'
857992228043620352,2017-04-28 16:17:42,"b'@DrKulhanek @DoerreKISD Hi Ms. K,  It was great to meet Commander Coleman.  It is so great that we are able to have\xe2\x80\xa6 https://t.co/vkeaSRVt5D'"
857991938192154625,2017-04-28 16:16:33,b'RT @DrKulhanek: Honored to host Career Day guest speaker Commander Coleman @DoerreKISD grade school classmate of mine since 7th gr-12 gr. i\xe2\x80\xa6'
857991649657577472,2017-04-28 16:15:24,b'RT @TheMarsSociety: Cruz interested in updating Outer Space Treaty to support commercial space activities - https://t.co/ZG3falzVnl https:/\xe2\x80\xa6'
857737613981167616,2017-04-27 23:25:57,"b'RT @NASA: New @USPSstamps! First-of-its-kind stamp changes when you touch it, showing the upcoming Aug 21 total solar eclipse! https://t.co\xe2\x80\xa6'"
857737542480912385,2017-04-27 23:25:40,b'RT @NASASpaceflight: China confirms a refueling test between Tianzhou-1 and Tiangong-2 was successful. https://t.co/ZYlgYkbgAu https://t.co\xe2\x80\xa6'
