id,created_at,text
765204388730241024,2016-08-15 15:11:57,b'Astronauts Kate Rubins and Jeff Williams Prepare For a Spacewalk - https://t.co/v1eB2N8PzI'
764715602351128577,2016-08-14 06:49:41,b'@TheDroneShip Thanks for the follow!'
764472156117925888,2016-08-13 14:42:19,"b""Site of 2016 Summer Olympic Games Viewed by NASA's MISR Instrument - https://t.co/eBniT4EGwn"""
764471502460841984,2016-08-13 14:39:44,b'@samhkpk Thanks for the follow!'
764318964340125696,2016-08-13 04:33:36,b'@OmondiOumaSnr Thanks for the follow!'
764318941372186624,2016-08-13 04:33:30,b'@legomics Thanks for the follow!'
764102246749573121,2016-08-12 14:12:26,b'Perseid Meteor Shower 2016 from West Virginia - https://t.co/daDeDeN0KF'
763908399620825088,2016-08-12 01:22:09,b'Visit Team Miles at the Small Satellite Conference - https://t.co/038LzrYJIF #MilesSpace'
763852776673771521,2016-08-11 21:41:08,"b'Braunschweig, German - https://t.co/OUuqSEJrHW'"
763830435684179968,2016-08-11 20:12:21,b'Moon Express verso la Luna: via libera ai viaggi privati nello Spazio - La Repubblica - https://t.co/0P6fmQhfgP #MoonExpress'
763776047699623936,2016-08-11 16:36:14,"b'The Next Big Thing? 5,000,000+ Cardboard Viewers Have Spoken - https://t.co/qxQRFYcjI7 #LunarBlog'"
763739989767286784,2016-08-11 14:12:57,b'A Black Hole Story Told by a Cosmic Blob and Bubble - https://t.co/ijKRRE8Vya'
763377378915717120,2016-08-10 14:12:04,b'Infrared Saturn Clouds - https://t.co/Vl1HZaqcz9'
763014759809683456,2016-08-09 14:11:09,b'Aurora and Manicouagan Crater - https://t.co/DuTHC8tzoQ'
762040805829869570,2016-08-06 21:41:00,"b'Gottingen, Germany ( - https://t.co/ahxOaFB9vo'"
762018433089335301,2016-08-06 20:12:06,b'Moon Express signs historic launch agreement for private missions to the Moon - PR Newswire (press release) -  #Moo\xe2\x80\xa6 https://t.co/zSHb8HSXyo'
761956694423400448,2016-08-06 16:06:47,b'Google Lunar X Prize: Visit the Moon for an Unprecedented Payday - https://t.co/pvjwN7P6ew #LunarBlog'
761956659640033280,2016-08-06 16:06:38,"b'The Next Big Thing? 5,000,000+ Cardboard Viewers Have Spoken - https://t.co/qxQRFYcjI7 #LunarBlog'"
761920122281979904,2016-08-06 13:41:27,"b""Neil Armstrong in NASA Ames' Bell X-14 Aircraft - https://t.co/1npZKblICr"""
761760038327320576,2016-08-06 03:05:20,b'Commercial Space: Industry Developments and FAA Challenges - https://t.co/A2qNfdkBaR'
761557670323220481,2016-08-05 13:41:12,"b""Curiosity's Arm Over 'Marimba' Target on Mount Sharp - https://t.co/Xj8AfEO0MV"""
761195245912596480,2016-08-04 13:41:03,b'Astronauts Test Orion Docking Hatch For Future Missions - https://t.co/CBNyncuVaI'
761016711633960960,2016-08-04 01:51:37,b'@WebairInc Thanks for the follow!'
760940828588204032,2016-08-03 20:50:05,b'@DemianBlair Thanks for the follow!'
760906640002519040,2016-08-03 18:34:14,"b'Telecommunications, broadcasting and Earth observation continue to dominate the global space economy. - https://t.co/rvdCmEln4v'"
760825894005014528,2016-08-03 13:13:23,"b""Field Testing NASA's New Carbon-Dioxide Measuring Instrument - https://t.co/baq2DUGDnb"""
760463219215458304,2016-08-02 13:12:14,b'Acadia National Park - https://t.co/76QfXTkHK6'
760356217151746049,2016-08-02 06:07:03,b'@FabienAmoretti Thanks for the follow!'
760261323267661824,2016-08-01 23:49:59,b'@ebongeka Thanks for the follow!'
760261293228093441,2016-08-01 23:49:51,b'@Burr393m5 Thanks for the follow!'
760221679092203520,2016-08-01 21:12:27,"b""Let's talk about the - https://t.co/ftJSX1toPZ"""
760221514302164993,2016-08-01 21:11:47,"b""A Black Hole \xe2\x80\x98Choir' - https://t.co/bCdQPggkMO"""
760198956978675712,2016-08-01 19:42:09,b'Moon Express Announces First International Multi-Mission Payload Agreement with The INFN National Laboratories of .\xe2\x80\xa6 https://t.co/tsvwc5Rlf0'
760167919825412101,2016-08-01 17:38:49,b'@dougboneparth Thanks for the follow!'
760167908387459072,2016-08-01 17:38:47,b'@thinaer Thanks for the follow!'
760161974613372928,2016-08-01 17:15:12,"b'Advancements in technology and private space industry have, in a real way, brought the cosmos truly within reach. - https://t.co/H0UxrPTf0Q'"
760137268925431808,2016-08-01 15:37:02,b'Space is Closer (and Cheaper) Than Ever! - https://t.co/AMRtKIDgwg #LunarBlog'
760137243503763456,2016-08-01 15:36:56,b'NASA Cube Quest Ground Tournament 2 Winners Announced - https://t.co/vgyhv1CkK9 #LunarBlog'
760137227808673792,2016-08-01 15:36:52,"b'The Next Big Thing? 5,000,000+ Cardboard Viewers Have Spoken - https://t.co/qxQRFYcjI7 #LunarBlog'"
759581447078412288,2016-07-31 02:48:23,b'@HalfDomeOrBust Thanks for the follow!'
759504619953356801,2016-07-30 21:43:06,"b""Let's talk about the space industry in Australia's election campaign - https://t.co/ed45UGrrh3"""
759368239247921152,2016-07-30 12:41:11,b'Space Station View of the Chesapeake Bay - https://t.co/aLQBQgh5Gu'
758998598021369857,2016-07-29 12:12:21,"b""A Black Hole \xe2\x80\x98Choir' - https://t.co/cWFoXW1wMP"""
758734192440057862,2016-07-28 18:41:42,b'@WaywardBoat Thanks for the follow!'
758709079703420929,2016-07-28 17:01:55,b'Astrobotic Selects Space Industry Veteran to be Mission Director - https://t.co/oAffet2IjN'
758656595811270656,2016-07-28 13:33:22,b'@grisanik Thanks for the follow!'
758636029104521216,2016-07-28 12:11:38,b'The Loneliest Young Star - https://t.co/vFHk5Lteg1'
758409573002776576,2016-07-27 21:11:47,b'It used to be that t - https://t.co/A0kWwmmaVd'
758386761533943808,2016-07-27 19:41:08,b'President Obama Signs Law Allowing Moon Express Lunar Mining Rights - PR Newswire (press release) - https://t.co/9dSsaX2ugh #MoonExpress'
758325111141306368,2016-07-27 15:36:10,b'Is There a Disney Space Station in Our Future? - https://t.co/DFt5xaF0YC #LunarBlog'
758273605650223104,2016-07-27 12:11:30,b'Cockpit of the First All-Electric Propulsion Aircraft - https://t.co/wbVDMLLS3k'
758072983009230850,2016-07-26 22:54:18,b'@LeadExCo Thanks for the follow!'
757929272178769920,2016-07-26 13:23:14,b'New spirit of innovation is transforming space industry - https://t.co/6wUmabfUn6'
757903804205559809,2016-07-26 11:42:02,b'Hubble Views a Galaxy Fit to Burst - https://t.co/R1aK6i2brR'
757466975111028736,2016-07-25 06:46:14,b'@spaceportla Thanks for the follow!'
757316766104186880,2016-07-24 20:49:21,b'@Exposure4All Thanks for the follow!'
757316755979177984,2016-07-24 20:49:19,b'@AstroRadioEarth Thanks for the follow!'
757236210372861952,2016-07-24 15:29:15,b'It used to be that the only way to get to outer space was through the government - https://t.co/9ElzKdP3Hh'
756801568872210432,2016-07-23 10:42:09,"b'Aquanauts Splash Down, Beginning NEEMO 21 Research Mission - https://t.co/5CDgbrdKV3'"
756590179029311488,2016-07-22 20:42:10,"b""NASA's Hubble Looks - https://t.co/F9xrNOa9P0"""
756574804367532032,2016-07-22 19:41:04,b'Moon Express Makes History as First Company to Demonstrate a Commercial Lunar Lander - PR Newswire (press release) \xe2\x80\xa6 https://t.co/u5j2kW27ic'
756562951906164736,2016-07-22 18:53:58,b'@SpaceFrontier Thanks for the follow!'
756537848766066690,2016-07-22 17:14:13,b'Elon Musk provides new details on his \xe2\x80\x9cmind blowing\xe2\x80\x9d mission to Mars - https://t.co/kEs1YHZJ7f'
756513177333010432,2016-07-22 15:36:11,b'Experience Mars the safest way possible \xe2\x80\x93 in virtual reality!! - https://t.co/5BQJlNa5bP #LunarBlog'
756431704580063232,2016-07-22 10:12:26,"b""NASA's Hubble Looks to the Final Frontier - https://t.co/3KQGd0Y9wH"""
756069222950764544,2016-07-21 10:12:04,b'Sunset at the Viking Lander 1 Site - https://t.co/Zhx78OUI8y'
755996739040051201,2016-07-21 05:24:02,b'@Humanitychip Thanks for the follow!'
755882886922919937,2016-07-20 21:51:38,b'@GomezJames Thanks for the follow!'
755882874050674689,2016-07-20 21:51:35,b'@FranklinFDN Thanks for the follow!'
755831174501658624,2016-07-20 18:26:09,b'Juno probe enters into orbit around Jupiter - BBC News - https://t.co/mf93jKwfEW'
755699310893957121,2016-07-20 09:42:10,b'Melt Water Over Arctic Sea Ice - https://t.co/VLEfWxuZ6F'
755676843299246080,2016-07-20 08:12:53,b'@TomorrowLab Thanks for the follow!'
755505652492013568,2016-07-19 20:52:38,b'@spacehacking Thanks for the follow!'
755505641582649348,2016-07-19 20:52:36,b'@Teygan Thanks for the follow!'
755429466789277697,2016-07-19 15:49:54,b'@campSTEM Thanks for the follow!'
755429454659354624,2016-07-19 15:49:51,b'@johnmknight Thanks for the follow!'
755353345892741120,2016-07-19 10:47:26,b'@madscienceskill Thanks for the follow!'
755353335910305792,2016-07-19 10:47:23,b'@AvaamoHQ Thanks for the follow!'
755336672078917632,2016-07-19 09:41:10,b'Not Really Starless at Saturn - https://t.co/3FsDAqTWCu'
755277856696041472,2016-07-19 05:47:28,b'@Lambertis404 Thanks for the follow!'
755277843962134528,2016-07-19 05:47:25,b'@Mausonaut Thanks for the follow!'
755246400699379712,2016-07-19 03:42:28,b'#MilesSpace https://t.co/N47sdeanzt'
755203265529274368,2016-07-19 00:51:04,b'Propelling Citizen Science to the Moon - https://t.co/JO6m0RaEfM #MilesSpace'
755202837089509376,2016-07-19 00:49:22,b'@johanvo Thanks for the follow!'
755202826410819584,2016-07-19 00:49:19,b'@StrawberrySoc Thanks for the follow!'
755126865900212224,2016-07-18 19:47:29,b'@Tech_StartUp_TV Thanks for the follow!'
755091080253677568,2016-07-18 17:25:17,"b'""Success! Engine burn complete. #Juno is now orbiting #Jupiter, poised to unlock the planet\'s secrets. https - https://t.co/elpnXQAV46'"
755051486321766400,2016-07-18 14:47:57,b'@MauroBiasolo Thanks for the follow!'
755051476079214592,2016-07-18 14:47:54,b'@EBA_SF Thanks for the follow!'
754975868536123393,2016-07-18 09:47:28,b'@CincinnatiScore Thanks for the follow!'
754975858570489856,2016-07-18 09:47:26,b'@ChrisArnellaMS Thanks for the follow!'
754824753794416644,2016-07-17 23:46:59,b'@StartupGrind Thanks for the follow!'
754778049565040644,2016-07-17 20:41:24,"b""Let's talk about the - https://t.co/H1yY4WQSNU"""
754755913362309120,2016-07-17 19:13:27,b'Moon Express Signs Agreement for Historic Cape Canaveral Space Launch Complex 36 - PR Newswire (press release) -  #\xe2\x80\xa6 https://t.co/iUdYE8CNp5'
754730520584609792,2016-07-17 17:32:32,b'@TheBistronomy Thanks for the follow!'
754730509176102914,2016-07-17 17:32:30,b'@dayonedestiny Thanks for the follow!'
754701249153474560,2016-07-17 15:36:14,"b""There's No Hiding from Asteroids on June 30! - https://t.co/hyUvyHZX5J #LunarBlog"""
754654267793956868,2016-07-17 12:29:32,b'@LivingTomorrow Thanks for the follow!'
