id,created_at,text
863150065484840960,2017-05-12 21:53:06,b'RT @MakerVISTA: Wooooo Paula!!! Invaluable @MakerEdOrg #MakerVISTA partner &amp; site supervisor! #makered https://t.co/7oWDPqTE46'
863144322144886785,2017-05-12 21:30:17,"b""We're looking forward to seeing everyone at the #MakerEdConvening next week too! https://t.co/pClyabR2w9"""
863106611983863808,2017-05-12 19:00:26,b'Our Making Spaces partner schools are crowdfunding to grow #makered in their communities: https://t.co/nZOcviKnIU T\xe2\x80\xa6 https://t.co/cmqOawIA1q'
862744314551705600,2017-05-11 19:00:48,"b""Together w/ @DigitalPromise, we're expanding the Maker Promise to support bringing #makered to more youth:\xe2\x80\xa6 https://t.co/j58BkTAweV"""
862733025066459136,2017-05-11 18:15:56,"b""\xf0\x9f\x91\x8b Yup, we helped make this! There's a digital copy on our website too, for anyone interested in #crowdfunding:\xe2\x80\xa6 https://t.co/IiAAPOAsaD"""
862519393875623937,2017-05-11 04:07:02,b'Come to @makerfaire on 5/21 to find out how this public HS tackled the challenge of balancing #makered &amp;\xe2\x80\xa6 https://t.co/acdKKgXep4'
862447977280946176,2017-05-10 23:23:15,"b"".@caseymaker @avandordrecht The standard science fair model wasn't working for Sonoma County students\xe2\x80\x94so they moved\xe2\x80\xa6 https://t.co/0VlbA8jVqa"""
862447662015979520,2017-05-10 23:22:00,"b'.@caseymaker @avandordrecht ""It\'s really important for students to identify their own stories within science learni\xe2\x80\xa6 https://t.co/xgrTGE9l8F'"
862447120745283584,2017-05-10 23:19:51,b'.@caseymaker @avandordrecht Have ?s abt how the Sonoma County Office of Edu is incorporating #making? Tweet @ us an\xe2\x80\xa6 https://t.co/muEfgNWkw5'
862446817849384960,2017-05-10 23:18:39,b'.@caseymaker @avandordrecht Casey &amp; Anna have also seen firsthand how #makered can help #ELLs engage w/ &amp; understand complex science topics.'
862445187376660480,2017-05-10 23:12:10,b'.@caseymaker @avandordrecht #NGSS address the growing overlap between science &amp; engineering in #STEM; helping Ss fi\xe2\x80\xa6 https://t.co/lqFtyXPmv1'
862444784819986432,2017-05-10 23:10:34,"b"".@caseymaker @avandordrecht 1 of the biggest challenges they're trying to address via #makered is the transition to\xe2\x80\xa6 https://t.co/tnnClTPcWy"""
862444296728756224,2017-05-10 23:08:38,b'.@caseymaker @avandordrecht Casey &amp; Anna are with the Sonoma County of Education. Submit your Qs to us on Twitter u\xe2\x80\xa6 https://t.co/dzdGuywq1w'
862443928028536832,2017-05-10 23:07:10,b'.@caseymaker @avandordrecht #AskAMakerEducator is live w/ @caseymaker &amp; @avandordrecht! Tune in here: https://t.co/AiScsh2sps #makered'
862430091866931200,2017-05-10 22:12:11,b'Join us for #AskAMakerEducator today at 4pm PT! Submit your Qs for @caseymaker &amp; @avandordrecht here:\xe2\x80\xa6 https://t.co/e2jAZeoYSu'
