id,created_at,text
863206564928397312,2017-05-13 01:37:37,"b""@JeremySCook @HackTampa @FOX13News @NASAPrize You can buy there, or also check out the kits on Amazon. There's a fu\xe2\x80\xa6 https://t.co/6BxTJJMwWF"""
863196546531307525,2017-05-13 00:57:48,b'@JeremySCook @HackTampa @FOX13News @NASAPrize 10mm makerbeam'
863195407190560768,2017-05-13 00:53:17,"b""Thanks for the love @FOX13News and @lloydsowers, and sharing our story! We'll keep you posted, come June! https://t.co/QsAWlHcjE4"""
859189503210270724,2017-05-01 23:35:15,b'Many thanks to @PGuzzoTimes and @TB_Times for sharing our story and the @NASAPrize vision of engaging #citizenscience participants!'
855482674034737153,2017-04-21 18:05:38,"b""@kfc You make the sandwich, we'll carry it to space. Seriously, check out our credentials and DM us! @kdhochman"""
837028590290153472,2017-03-01 19:55:41,"b'Checking MarMoSet. What is it? Read &amp; check the cool, student led project to explore Martian moons: https://t.co/U7kW9CN6Cb #ContstantQ'"
834450360425185280,2017-02-22 17:10:43,b'.@Hackaday interview on @NASA antenna designs for MarCO CubeSat. Same size sat as @NASAPrize #CubeQuest Challengers. https://t.co/MBRktUyk10'
834051814475579392,2017-02-21 14:47:03,"b""Excited to represent at TiE Tampa Bay's #Startup Pitch Festival at #USF CONNECT this Thursday!\xe2\x80\xa6 https://t.co/He6SQYqdrj"""
823613988013568000,2017-01-23 19:30:51,"b'RT @NASAPrize: One week left to register for Phase 2 of 3D-Printed Habitat Challenge - with a $1.1M prize. Rules, details at https://t.co/G\xe2\x80\xa6'"
814156448829730820,2016-12-28 17:09:58,"b'RT @BillNye: Carrie Fisher, your role inspired a generation of scientifically curious space explorers. You changed the world &amp; you will be\xe2\x80\xa6'"
813814832671690752,2016-12-27 18:32:30,b'RT @CaraSantaMaria: \xf0\x9f\x98\xa2 May she Rest In Peace. \xf0\x9f\x98\xa2 https://t.co/54rLcTdvyl'
813814665667035136,2016-12-27 18:31:50,b'Rest in peace @carrieffisher. May the force be with you. always. https://t.co/FD6HL4ozOO'
806966695243972609,2016-12-08 21:00:27,"b""RT @SPACEdotcom: Flashback: #JohnGlenn's Poignant Congressional Gold Medal Honor Speech  #RIPJohnGlenn  https://t.co/ddw6UG0QYe https://t.c\xe2\x80\xa6"""
