id,created_at,text
862460569336647680,2017-05-11 00:13:18,"b""Fully stocked with cardboard for this Saturday's St. Johns' Bizarre after the parade! https://t.co/pwRSryFg6o"""
859102070984527872,2017-05-01 17:47:49,"b""Have you checked out our summer camps yet, 'cause they're going to be full of fun-packed creative making and... https://t.co/5psPLpCL1h"""
855117754612850688,2017-04-20 17:55:34,b'Calling all Cardboard Costume Creators! Join Blake and Denise for a FREE Tinker Camp maker experience at Lake... https://t.co/veVqGf4W7f'
854743309092126720,2017-04-19 17:07:39,"b""RT @robvannood: Making &amp; Tinkering class for educators in Portland and Vancouver.  I'll be facilitating with @edtechteaching Sign up.https:\xe2\x80\xa6"""
854742648787279872,2017-04-19 17:05:02,b'Come take a Tinkering &amp; Making Class this summer.  (July 10th in Vancouver WA). Rob and Michael will be... https://t.co/KOxi29jUII'
853462149099700225,2017-04-16 04:16:47,"b""Experimented w/vinyl cutter in preparation for a HS class I'm teaching next yr called Design+Tinker+Make -Rob https://t.co/a1EA7bB5a3"""
853405185258823680,2017-04-16 00:30:26,"b""Working on poster of our Tinker Tenets: what we make is great; but it's the lessons from the process that will... https://t.co/Pp0tsYkAt2"""
853317351806181377,2017-04-15 18:41:25,b'https://t.co/c6s1cUmfRN'
853295744660283392,2017-04-15 17:15:33,b'Tinker Camp is making an impact! #tinkeredu #PPS7GME WOW!  Just discovered that Portland Public Schools is using... https://t.co/890K7o4DQD'
852160214518321152,2017-04-12 14:03:22,b'Interesting. It echoes many of the reasons TC approaches education in a seemly chaotic way. Not that we are... https://t.co/Jdn1ieyxqT'
851986457933733888,2017-04-12 02:32:55,"b'Over the years when we do the Space narrative, often a group of kids will make flight patches for the crew. Here... https://t.co/vAb7PVTTIK'"
851805560446091264,2017-04-11 14:34:06,b'Happy belated birthday to Jinnet Powel. An awesome Tinker mentor and guide. Thanks for all you do to make Tinker... https://t.co/NmRxMb2RWI'
847546295824793600,2017-03-30 20:29:18,"b""Powerful stories about kids' raw talent write themselves at almost every Tinker Camp. Example: \n\nAt the Cities of... https://t.co/vMNu5DieO8"""
847092993190440960,2017-03-29 14:28:02,"b'Here is a little fly-through of Awesomeville, where kids are engineering a city while intersecting with... https://t.co/YPazR1LNvX'"
845028069769297920,2017-03-23 21:42:46,"b""144 ping pong balls for Tinker Camp. That's gross. https://t.co/znJCEytC7H"""
844946417240092672,2017-03-23 16:18:18,b'Something to think about for all our City of the Future campers. https://t.co/8luR8q1UbY'
844648523308032000,2017-03-22 20:34:35,b'I am trying to choose a picture that encapsulates Tinker Camp to be published in Willamette Week in their camp... https://t.co/h3sch56E4z'
843337681400545280,2017-03-19 05:45:46,b'Here is some awesomeness from our Cities Of The Future event on Saturday at Rockwood Library.'
839604147657695232,2017-03-08 22:30:02,b'Our next event.\n\nhttps://t.co/siRjyx3j39 https://t.co/MxAN2QWMVB'
839178708208472065,2017-03-07 18:19:29,b'Do you live in Clackamas County? We are would like to put on a camp out in Gladstone in August. Please check out... https://t.co/2mGWTHLdU5'
836051329768288257,2017-02-27 03:12:24,b'https://t.co/npRTBpSOOZ'
835561944161505280,2017-02-25 18:47:46,b'Tinker Camp is offering 5 summer camps and one spring break option.  Come find out more.  https://t.co/5MwDi376PO'
835561835671662592,2017-02-25 18:47:20,"b""RT @PDXTinkerCamp: Hey!  Here is Tinker Camp's Line-up:\nhttps://t.co/5MwDi376PO"""
834974619824095232,2017-02-24 03:53:57,"b""Hey!  Here is Tinker Camp's Line-up:\nhttps://t.co/5MwDi376PO"""
833125106176061440,2017-02-19 01:24:38,"b'Great fun today! We built this city, not on Rock &amp; Roll, but on a map at the Rockwood Multnomah County Library!... https://t.co/kiDQIylIZb'"
832744334294388736,2017-02-18 00:11:35,b'Tinker Camp Newsletter for February 2017 https://t.co/LMpUf06eUR'
831166071201689601,2017-02-13 15:40:08,b'https://t.co/7SkqV99QYH'
827907273645101058,2017-02-04 15:50:50,b'Had a wonderful time getting to know the kids and families at Gregory Heights library. We created some awesome... https://t.co/PRSpIr2MS6'
827269426256830465,2017-02-02 21:36:15,"b'Denise Slattery, thanks for the photos! https://t.co/0uVVEcjpsO'"
827258083990593536,2017-02-02 20:51:11,b'Thank you St. Johns Library Teen Council for choosing Tinker Camp for your monthly teen workshop. You made quite... https://t.co/FdmSWaifh7'
826973156841623553,2017-02-02 01:58:59,b'https://t.co/JbfdciwkJw'
826972844840017920,2017-02-02 01:57:45,b'We are working up our schedule for the season. Already booked our Spring Break camp and working on the narratives... https://t.co/GuSQeJsYqh'
825461401518907392,2017-01-28 21:51:49,"b""Today. 3:30-5:30. St. John's Library. Wants make something unique for Valentines Day? They'd never expect a... https://t.co/e5D6i9R9Ei"""
822517411891003393,2017-01-20 18:53:27,"b""Here's one of the awesome people I work with.  A creative challenge throw down. John powel you game? https://t.co/kFbXqEeGOn"""
822507948903661568,2017-01-20 18:15:51,b'With the inauguration today I am launching a personal creative project inspired by the words of MLK . \n\nHere is... https://t.co/ON6Nbam2pg'
821192457379397632,2017-01-17 03:08:33,"b'RT @catlingabel: PLACE featured on Edutopia\n\nFor her new blog post on Edutopia, journalist and author Suzie Boss focuses on Catlin... https\xe2\x80\xa6'"
821181549538197504,2017-01-17 02:25:12,b'MLK 2017 reminder to keep on focusing on love and truth. inspired by Bryan and Eldon Potter and @aleximurdoch  https://t.co/duUywWsUrd'
819228458219761664,2017-01-11 17:04:19,b'Giving kids the support for hands-on making around a project of their choosing is what Tinker Camp does.   Great... https://t.co/V59p3yKPEV'
814905841153249280,2016-12-30 18:47:47,b'Our latest emailer : \nhttps://t.co/ZmgRIfPHxr https://t.co/y9OcUhrtTP'
814905209444966400,2016-12-30 18:45:16,b'Please consider making a year-end donation to support our programs. Do it before Saturday night and get a tax... https://t.co/YDOtojqdpt'
811802814015946752,2016-12-22 05:17:28,b'Great group of kids at our holiday camp. Merry Solstice everyone. https://t.co/WbTPQ0NoW9'
811441735024816128,2016-12-21 05:22:40,b'So happy about getting to know these exceptional kids at our holiday camp. It is also a pleasure partnering with... https://t.co/iNa97rdJ06'
807155265883643904,2016-12-09 09:29:46,"b""@AsMcYi7 we'd love to chat with you. What kind of help do you need?"""
806634214728679424,2016-12-07 22:59:17,"b'Teens! Join us this Saturday, Dec 10 3:30-5:30 at the Kenton Library for Franken-Animals. Free Workshop! Sign up... https://t.co/CsPkhi5xnS'"
806632290558193664,2016-12-07 22:51:39,"b'Teens!  Join us this Saturday, Dec 10 3:30-5:30 at the Kenton Library for Franken-Animals.  Free Workshop! https://t.co/vl2aEKhN58'"
804056355891978241,2016-11-30 20:15:48,"b'There is still plenty of room in our school holiday mini camp. December 19,20,21 in NE Portland. Please register... https://t.co/p13fy4xnlu'"
803682293642465280,2016-11-29 19:29:25,"b'Tuesday Gift -Giving;  Give the Gift of Learning \n\nAs the end of the tax year approaches, will you consider... https://t.co/0y2CWtsSo0'"
798595007175413760,2016-11-15 18:34:21,b'Have you seen our first newsletter? https://t.co/f6HFPazzj6 https://t.co/3UXwHfKGiz'
793961465464180736,2016-11-02 23:42:19,"b'We are doing it again! Tinkermas camp during the winter break.\n\nDecember 19, 20 &amp; 21 at Trinity Lutheran School... https://t.co/Rl5O1993WO'"
793256208039759873,2016-11-01 00:59:52,b'The Huffington Post is the first to publish an article about Tinker Camp. So excited! https://t.co/B2mmU8NuEG'
792866750601629696,2016-10-30 23:12:18,"b""From pterodactyl masks to a Kitty shield, what a great afternoon of making. St. John's has got it going on. #Multnomahcountylibrary #Steam"""
791995373627723776,2016-10-28 13:29:46,"b'If you want to be Baba Yaga, cardboard creations is for you. Want to make a superhero toolbelt, join me this... https://t.co/JEDSbPrqnQ'"
788837620918870016,2016-10-19 20:21:59,"b""Look as this fabulous fabric I scored in a neighbor's free-bie pile.  He used it for upholstery in a cafe and... https://t.co/m6dDIHu6RW"""
785653141488345088,2016-10-11 01:28:00,"b'Around Tinker Camp we joke that if a thing is worth doing it is worth over-doing. Of course, when speaking about... https://t.co/Ow2ZKbE6Gs'"
784831074580828161,2016-10-08 19:01:24,b'Tinker on a grand scale. Thanks Emily for sharing! https://t.co/n0yYAXSXRj'
