id,created_at,text
862836097319141376,2017-05-12 01:05:30,"b'Flashlight required for work tomorrow. Found it, but had a blown bulb. To the Lab! https://t.co/5JkzzY9JdL'"
862494319068016640,2017-05-11 02:27:24,b'New project. Under 2.5 inches in length and 1/3 of an inch in width. 868MHz transmitter. Smaller than a stick of gu\xe2\x80\xa6 https://t.co/pMd5nhWZGp'
861030412910571520,2017-05-07 01:30:22,b'Tiny wires + Tiny Mic = Tiny soldering https://t.co/jChjlA29b8'
859957890572070912,2017-05-04 02:28:33,b'@CaptainMurphy Be gone from this cosmic plane bacon demon spawn. I name thee Turkey and cast thee out!'
859955520614125568,2017-05-04 02:19:07,"b'Go forth, learn, and #solder  like a ninja. Fantastic little microphone. Emphasis on little. https://t.co/RjZBtVQsxA'"
857772062793977856,2017-04-28 01:42:51,b'@Serf_ Perfect \xf0\x9f\x91\x8d'
857037029565247488,2017-04-26 01:02:05,b'@Ehmee I wear cargo pants and a polo shirt a lot for my job. We call it business tactical.'
856661869867806720,2017-04-25 00:11:20,"b""@Serf_ You're welcome. Hope you guys enjoy them. I have to say I'm impressed with the packaging."""
851623763779219457,2017-04-11 02:31:42,"b""The capacitors in this video are the largest I've ever seen. Guess you need the size when you're making lightning. https://t.co/g68E6z6K8U"""
849953510376472578,2017-04-06 11:54:42,"b""@sebkinne @Hak5 Send me an address in DM and I'll make sure a new one finds you."""
849796848550375424,2017-04-06 01:32:11,"b""Just watching one of my favorite YouTube channels when, BAM! ...that's my sticker! https://t.co/2x924QlcYC @Hak5 https://t.co/2UMPKb9fxu"""
849758255597445120,2017-04-05 22:58:50,"b""@IFSClimbing @FloClimbing That's pretty terrible news. I'm a new climber. Just started watching last year. Like wat\xe2\x80\xa6 https://t.co/XEDdEZBmXE"""
848342664718188545,2017-04-02 01:13:47,b'I just turned my Google Voice account into a SIP trunk for my home PBX. Only $6 for setup. Well worth it.  https://t.co/fbkIN79Z73 #VoIP'
846898876346855424,2017-03-29 01:36:41,"b'@NoDumbQs Destin, you want to work on your running? 10 weeks way, plenty of time for training, and local: 15k https://t.co/25V3HUCigq'"
846898639670689792,2017-03-29 01:35:44,"b""Fun podcast! It's been awhile since I've laughed this hard while exercising. https://t.co/tYe1H0BZ04"""
846559286377549824,2017-03-28 03:07:16,"b'Under FCC guidelines I can produce Txmitters exempt from testing if they are used as industrial, commercial, or med\xe2\x80\xa6 https://t.co/epm6UeN7tw'"
845115495837831168,2017-03-24 03:30:10,"b""Datasheets and their empty threats. We'll see about that! https://t.co/MjQ0KDICEo"""
844740357715832832,2017-03-23 02:39:30,b'The packet analysis portion of the new class is really coming together nicely. Plenty of exercises and labs!\xe2\x80\xa6 https://t.co/YSRkquwrAH'
844009731488387072,2017-03-21 02:16:15,"b""If you see these two lines in your #VoIP pcap capture, it's time to seek answers. #infosec https://t.co/apCkGvsntS"""
843300565262188545,2017-03-19 03:18:17,"b""Yes! It's happening! #Fiberiscoming #Huntsville https://t.co/0sgIzwYkAR"""
842923848710475777,2017-03-18 02:21:20,"b'The pest control guy asked my wife ""What\'s with all the phones?"" No idea what he means. #VoIP #infosec https://t.co/IpFKIcm1GI'"
840946106838200320,2017-03-12 15:22:30,"b""Here's the answers to last week's #Wireshark #VoIP Challenge! https://t.co/NUfb2XHxB6"""
840553484558688256,2017-03-11 13:22:22,b'RT @shwood: New Modern Rogue episode out! We learn now to detect bugs and hidden cameras: https://t.co/r75MPrYllk'
839312929895952384,2017-03-08 03:12:50,"b""Trying out some bleeding edge cellphone detection software, Spotlight, running on Epiq Solutions' Flying Fox. \xf0\x9f\x91\x8d for\xe2\x80\xa6 https://t.co/KdddjlhQnW"""
838530979539070976,2017-03-05 23:25:39,b'Take part in the #Wireshark #VoIP Challenge! Try out an exercise from the new class in development. https://t.co/PnTbmw3DgA'
837478459697991680,2017-03-03 01:43:19,b'Took my wife out for another fancy date night. https://t.co/YjpmKVTdSG'
835324324869459968,2017-02-25 03:03:33,"b'The Modern Rogues (@shwood &amp; @CaptainMurphy) showing off another deadly skill, @100deadlyskills. Flashbangs! https://t.co/yqz4fAxCxG'"
835255554381611009,2017-02-24 22:30:17,"b'@Mr_Protocol @Google yep, reauthed yesterday. Everything is fine now.'"
834615811125960704,2017-02-23 04:08:10,"b""More lesson planning. I like being behind the keyboard, but I can't wait to start playing the hardware for this cla\xe2\x80\xa6 https://t.co/AXYTesJz4K"""
831692723849662464,2017-02-15 02:32:52,"b""It's all lesson plans tonight. https://t.co/lExHIf8fy1"""
831338259217268738,2017-02-14 03:04:21,"b'So Q1, we meet again. Curse your pin swapping shenanigans! No emitter should be subject to such torture. I shall se\xe2\x80\xa6 https://t.co/vCejGybHP0'"
830957123047669762,2017-02-13 01:49:51,"b'New lab spaces are complete! My wife, @BrandyJBaird, is awesome! Yes, those two things are related. https://t.co/C91TNLCgAD'"
830435166954860545,2017-02-11 15:15:47,"b""Lab areas are slowly coming together. Can't wait to get back to work. https://t.co/Wh0QJfb2i7"""
828013997702119424,2017-02-04 22:54:55,"b'Workstation 2.0, my wife had a great idea to have the floating table top. It looks great! https://t.co/BrU9KGiu8s'"
827606978352410624,2017-02-03 19:57:34,"b""Cable guy said he only runs the coax through the floor. I told him to give me 20 minutes b/c I'm not a barbarian.\xe2\x80\xa6 https://t.co/o7UOAonGOy"""
827298393823158272,2017-02-02 23:31:22,b'Finished lamp project. https://t.co/NpFR1Jbm46'
827249608313016321,2017-02-02 20:17:30,b'High class dining. #moving #rocketcity https://t.co/tDlKBYBlnK'
826164756889346049,2017-01-30 20:26:42,"b'Even in the process of moving I have a project. Dad was given this old, multiple bulb lamp with selector switch. Ne\xe2\x80\xa6 https://t.co/aWvG9QmrsA'"
825905061482135552,2017-01-30 03:14:45,"b""I've never been one for mechanical work. Dad on the other hand is quite accomplished. He just rebuilt this kids mot\xe2\x80\xa6 https://t.co/tMC3jPDKvh"""
825540473494392832,2017-01-29 03:06:01,"b'.@100deadlyskills, looks like @shwood and @CaptainMurphy tested out one of your chapters. I vote for a collab video. https://t.co/vU8DXpCaBv'"
824459361414213632,2017-01-26 03:30:04,b'@smartereveryday Pants!'
824374443262644224,2017-01-25 21:52:38,b'Cool repair video about the CPM-700 over at the @eevblog youtube channel. https://t.co/KvP6IVPP8T'
824086291935596544,2017-01-25 02:47:37,b'This is the original prototype of the first product I ever sold. Finally disassembling. Movers come Friday. https://t.co/8iRrV5qyrs'
822255915038572544,2017-01-20 01:34:21,"b""Why wouldn't the wire strippers and the machete go in the same moving box. Makes perfect sense. https://t.co/a9xilHDDSn"""
821560306593918977,2017-01-18 03:30:15,"b'Breaking down the business to move to the #RocketCity , Huntsville, AL. https://t.co/qXk5MQ1HxO'"
820797450483023872,2017-01-16 00:58:56,b'@shwood Lawyer falls squarely in option C'
820796907148742658,2017-01-16 00:56:46,b'@Serf_ I got connections!'
820785002128506881,2017-01-16 00:09:28,"b'Well, they got the first half right. https://t.co/Ie0nyJ07i6'"
820783414186045445,2017-01-16 00:03:10,"b""@shwood Started watching modern rogue. You followed me on twitter. Didn't know you had twitter. Followed back. No regrets."""
820383652718723072,2017-01-14 21:34:39,"b""Moving to Alabama at the end of the month. Guess this Georgia boy's going to be paying for all those jokes now. https://t.co/dkUbpbg75x"""
820377771335712768,2017-01-14 21:11:17,b'@DestinSandlin the south side of London.'
819027794822856704,2017-01-11 03:46:57,"b'First time using a stencil. After all this I end up with a chip on backwards. Still, learned that solder paste is g\xe2\x80\xa6 https://t.co/pp21IIi2yU'"
818682715952336896,2017-01-10 04:55:44,b'@Serf_ any relation to your previous clotting issue?'
818639467036704772,2017-01-10 02:03:53,"b""I regret to inform you that tonight's regularly scheduled program of SMT soldering has been interrupted by governme\xe2\x80\xa6 https://t.co/VBDI7i7fDO"""
818273385138581504,2017-01-09 01:49:12,"b""It's time to do this the easy way. First time using a stencil. Paste should be in tomorrow. #circuits #electronics https://t.co/RSE7CzHjcI"""
817916067330850817,2017-01-08 02:09:21,"b'Not what I usually use copper wire for but  after doing accounting for 3 straight hours, I needed an artistic outle\xe2\x80\xa6 https://t.co/ooWzEfGkt4'"
817443751291473922,2017-01-06 18:52:32,"b""@Go2HuntsvilleAL @geekouthsv you convinced us. We'll be in 5 points in February. Thanks everyone!"""
816871132993306624,2017-01-05 04:57:09,b'.@Go2HuntsvilleAL @geekouthsv convince me and @BrandyJBaird to move to Huntsville. What do you love best? #rocketcity'
815779579977760768,2017-01-02 04:39:42,b'Spending some time in Huntsville where even the bell towers look like rockets. #rocketcity https://t.co/70lGzjtyl1'
813560023221764096,2016-12-27 01:39:59,b'@Nick_Spangler @etaibenson @garenscribner @estygrl Great show last night guys! The family loved it. Bravo!'
813381384777633792,2016-12-26 13:50:08,"b""@eevblog Boeing's variant was a better plane but their presentation was horrible. Pentagon went with Lockheed. Presentation is everything."""
812656605640753152,2016-12-24 13:50:07,b'Christmas tree space was in short supply this year so we improvised. https://t.co/WagYYuXlGE'
812134320999694336,2016-12-23 03:14:45,b'Time to get into the Christmas spirit. Help me to help this fantastic entrepreneur through #Kiva.\xe2\x80\xa6 https://t.co/SXrSgXhDyN'
811772625701715968,2016-12-22 03:17:30,b'@eevblog thanks for the video! I have a channel but was concerned if it would be worthwhile to purse hard. I have some things to think about'
811704110365876225,2016-12-21 22:45:15,"b'@smartereveryday &amp; @DestinsBride, my wife and I may be moving to Huntsville. Any recommendations for nice neighborhoods and restaurants.'"
811703229264302081,2016-12-21 22:41:45,"b""I guess I'm not the only one to ask for a @tferriss book for Christmas @CaseyNeistat. #toolsoftitans https://t.co/fUl4ECACQc"""
811390484962807812,2016-12-21 01:59:01,"b""A lot of firsts in the new class. I'm happy to say that students will experience exercises and conditions I've neve\xe2\x80\xa6 https://t.co/5AFQLxTCW7"""
811192977993383936,2016-12-20 12:54:11,b'A little weekend relaxation. #climbing #bouldering https://t.co/sRtP7dgw0i'
809626093728702465,2016-12-16 05:07:57,b'Fantastic! https://t.co/zmLNox7UJy'
809239609603489792,2016-12-15 03:32:12,b'Tis the season for flamingos and Christmas dragons. https://t.co/NuRheR7rQE'
808875329813180416,2016-12-14 03:24:41,b'The red transformer is $15 ea. The white is $5. Not a hard decision this time. https://t.co/CyLgtQ5uk4'
808497791295193088,2016-12-13 02:24:29,b'This is a big ole dose of harmonics-B-gone. Low pass filters with a beefy inductor. #RF https://t.co/PuS2BScGlA'
808089836577964032,2016-12-11 23:23:25,b'These little surface mount adapters soldered up nicely. Should make prototyping a bit easier. https://t.co/rurupqUbyA'
807717726286397440,2016-12-10 22:44:47,"b""MEMS analog microphone with 32 AWG wire. Soldering wasn't too bad an audio quality is great. https://t.co/bo1sathTE6"""
806366275870064641,2016-12-07 05:14:36,b'RT @Ehmee: What is a fundamental belief you hold dear?'
806264547413725184,2016-12-06 22:30:22,b'Today was a good day. https://t.co/sDylEMbits'
805971140636184576,2016-12-06 03:04:28,b'In other news I just ordered some 1mm x 2mm x 3mm hearing aid microphones. Now I just need to order some soldering nerves of steel.'
805969526055694336,2016-12-06 02:58:03,b'About to give these little adapters a chance. I have high hopes. https://t.co/2KEICQYhmZ'
805573085311234049,2016-12-05 00:42:45,"b""@Serf_ you're right. I'll just take the pickle."""
805568918203076608,2016-12-05 00:26:11,b'A sandwich is just a necessary formality needed to enjoying a pickle with potato chips.'
803646779573075968,2016-11-29 17:08:17,b'@Serf_ I need a poo vaccination.'
803644471820906496,2016-11-29 16:59:07,b'Some how @Serf_  gave me the twitter stomach flu. Guess I should wash my hands more often.'
802491006100701184,2016-11-26 12:35:40,b'@kwsapphire visiting family in GA.'
802313115891154944,2016-11-26 00:48:47,b'Had to dust off the #streetluge for the cousins and nephew. https://t.co/Wh1mySoWf4'
801275752079446016,2016-11-23 04:06:40,b'The project desk is getting full but not from many projects. Just one big one. #VoIP #circuits #infosec https://t.co/Fh76R10V2M'
800904450651123713,2016-11-22 03:31:15,b'Finally put some of those harmonics in the dirt with an ugly filter. Time to put some lipstick on this pig. https://t.co/jcDI2t2YhZ'
799070159608672258,2016-11-17 02:02:26,b'What harmonics? https://t.co/buEh09z7KG'
799046426563067904,2016-11-17 00:28:08,b'Prepping another network tap. https://t.co/mI4w2vRMXW'
797637076598460418,2016-11-13 03:07:53,b'More vacation. Learning to use my feet a little better. #climbing https://t.co/BmseVo1x4K'
796857782901293056,2016-11-10 23:31:15,b'Chattanooga Vacation Day 1 https://t.co/IUmhSHjp91'
795092239580090369,2016-11-06 02:35:36,"b""Time to start building lab exercises. Part1: Build hardware that doesn't exist. https://t.co/6lALDnwD7P"""
794735659256844288,2016-11-05 02:58:41,b'@Mr_Protocol that would be quite an accomplishment.'
794366260960182272,2016-11-04 02:30:49,"b'Winner, winner chicken dinner. #LTE detection with an SDR. Nice! https://t.co/usdv5Lue8V'"
794349439855038464,2016-11-04 01:23:59,b'Getting to try out the Epiq Solutions Flying Fox sensor with Spotlight software. https://t.co/cOwzUwGFbs #SDR\xe2\x80\xa6 https://t.co/YPsUmEQXK2'
792485457103814656,2016-10-29 21:57:11,b'Had fun at the comp getting shown up by all the youth climbers. https://t.co/r7RTi6wB1E'
792368428933713924,2016-10-29 14:12:09,b'My first climbing comp. Looks like some fun routes. https://t.co/9HdcIJXwZV'
791447295489404928,2016-10-27 01:11:54,"b'#Tampa  voters, your ballot is 3 legal pages long. It took my wife and I over 2 hours to research. Be prepared!\xe2\x80\xa6 https://t.co/c4Izhy852v'"
791120433269596160,2016-10-26 03:33:04,"b'@Mr_Protocol somewhere, someone got paid for that'"
791092316719251456,2016-10-26 01:41:20,b'@Mr_Protocol I just sat for 20 seconds in mouth open amazement.'
791051476168740864,2016-10-25 22:59:03,"b""@DarkMetalFab Don't blame this on me!"""
790897427947589633,2016-10-25 12:46:55,b'A friend of mine just started a business. Check out @DarkMetalFab for some very unique #lockpicks.\xe2\x80\xa6 https://t.co/VwaSWIgQrF'
789997228408631296,2016-10-23 01:09:51,b'Three more models to update the #wifipineapple list:\n\nLG G Watch R\nApple iPhone 5s\nApple iWatch\n\nhttps://t.co/8t9p1s48un'
789911469894828032,2016-10-22 19:29:04,b'Testing before shipping. Still like the way these boxes came out. https://t.co/lfQ2J3IrmJ'
789472211841060865,2016-10-21 14:23:37,b'RT @oshpark: Optical Covert Channels transmit data using light in a method undetectable to the human eye https://t.co/LJzAdOBkH4 via @joegr\xe2\x80\xa6'
789279603114270720,2016-10-21 01:38:16,b'More audio amp orders getting ready to ship! https://t.co/shNgcMUVAe'
787467955634368512,2016-10-16 01:39:25,b'An update to the Pineapple client reaction list: 3 new phones and OUIs.\n\nhttps://t.co/8t9p1s48un'
787362903754170368,2016-10-15 18:41:59,b'New VoIP class in full development. Coming Spring 2017! https://t.co/qTj8tD0tjC'
787324277506834433,2016-10-15 16:08:30,"b'""Speaking of incontinent strippers, I want some BBQ."" -@BrandyJBaird'"
785693808092643328,2016-10-11 04:09:35,"b'If you saw 1 possum tonight, you saw 1 more than I saw. Congratulate yourself.'"
785676096423419905,2016-10-11 02:59:13,"b'@Snubs how absurd, hilarious, and depressing. What a horribly sad existence this individual must have.'"
785584454374920192,2016-10-10 20:55:04,b'I otter have a great birthday! ....and I did. https://t.co/QDqmrcYOQA'
785513779853418496,2016-10-10 16:14:13,b'@securelyfitz Thanks!'
785327761837744128,2016-10-10 03:55:03,b'@securelyfitz I noticed your HushCon training and was wondering if you have a list of other upcoming training opportunities. Thanks!'
784953726003970048,2016-10-09 03:08:46,"b'Today war was waged against the palm trees, allies of the ants storming my apartment. Battle was fierce. Time shall\xe2\x80\xa6 https://t.co/qHud4eQnpF'"
784232923977383936,2016-10-07 03:24:34,b'Finished an article on how clients react to the #wifipineapple and the results will be on-going. https://t.co/VR3aJJu6R4'
784191996617494528,2016-10-07 00:41:56,"b""@Serf_ not really, just getting a little rain. I'm told the wind shouldn't get heavier till tomorrow morning. Schools closed just in case."""
783866647480299520,2016-10-06 03:09:06,b'Three shipments out this week. I love the end of the fiscal year. https://t.co/yQG3QexiyC'
783653260670500868,2016-10-05 13:01:11,b'Testing some training boards before shipping...and finishing some tea. https://t.co/F7tklH07s2'
783027320122511360,2016-10-03 19:33:55,"b""From Tampa to Baltimore and now back to Tampa. Bye Baltimore, it's been a lovely 7 hours. https://t.co/uBCLvpk9iS"""
782419826925002752,2016-10-02 03:19:58,b'Putting the #TALAN  through its paces. Some new options to increase functionality and a few fixes. https://t.co/tjm5zaBwCa'
782217460611215360,2016-10-01 13:55:50,b'We have a new class! TECH 110: Digital Photography Fundamentals. Teamed up with a great photographer. Looking forwa\xe2\x80\xa6 https://t.co/9N8gL05vxO'
781640412968677376,2016-09-29 23:42:51,"b""@DestinsBride Between learning about mouse lemurs from @Ehmee's video and seeing this picture, my daily cuteness meter just exploded."""
781639640596054028,2016-09-29 23:39:47,b'I just linuxed harder than you.'
781341844127047681,2016-09-29 03:56:26,b'@oshpark You can see it here. I sell them. https://t.co/cgyvLnOOOH'
781297459452645376,2016-09-29 01:00:04,b'The @oshpark egg arrived and it just hatched a whole lot of work. https://t.co/bY0j4GJcmU'
