id,created_at,text
834155517421424643,2017-02-21 21:39:07,b'@Staffometry I knoooww \xe2\x80\x94 it\xe2\x80\x99s like going home after summer camp'
832779623805001728,2017-02-18 02:31:49,"b'RT @GreenAsterisk: As always, it was awesome tweeting for @TBStartupWeek for the past few months. Thanks everyone for a good time! #TBSW17'"
832770067792289792,2017-02-18 01:53:50,b'RT @JessEilerman: Grear crowd for closing ceremonies of @TBStartupWeek \n#TBSW17 #communitydriven https://t.co/bxOZ2gqNek'
832770014549798912,2017-02-18 01:53:38,"b'RT @AndreasHawk: Show host by day, bartender by night. All in a days work at @TBStartupWeek @ChaseforBiz #TBSW17 #ChaseforBiz https://t.co/\xe2\x80\xa6'"
832769982287081472,2017-02-18 01:53:30,b'RT @ThomasNeuert: The party is just getting started at @TBStartupWeek Finale Party! Hanging out with the Nuthouse guys from @WiLD941 #TBSW1\xe2\x80\xa6'
832761557943668736,2017-02-18 01:20:02,"b'Day 5 Startup Wrapup -- Goodbye, #TBSW17! https://t.co/7mokk1ooMw'"
832756604042780672,2017-02-18 01:00:20,b'RT @mgmtguygeorge: VR rules! #TBSW17 #VR # https://t.co/k1otFcFZZp'
832750898560524288,2017-02-18 00:37:40,b'@chonnguyen It\xe2\x80\x99s our pleasure! Thanks for being a part of that community!'
832747853349056513,2017-02-18 00:25:34,b'RT @dtsp: NOVA 535 TONIGHT 7-10pm\n#StPete #downtownstpete #dtsp  #TBSW17 #nova535 #businessowners #startups #entrepreneursocialclub #saltbl\xe2\x80\xa6'
832747332844281856,2017-02-18 00:23:30,b'The party is happening here in @StPeteFL at @NOVA_535! #TBSW17 https://t.co/IbPXRyYTFq'
832745603058708482,2017-02-18 00:16:38,b'Let the festivities begin!! #TBSW17'
832740726299643909,2017-02-17 23:57:15,b'@mgmtguygeorge @Staffometry our pleasure!'
832740666207662084,2017-02-17 23:57:01,b'RT @mgmtguygeorge: @TBStartupWeek thanks for hosting this great event and block party! @Staffometry  #TBSW17 https://t.co/m8DIs2kO72'
832727316497260546,2017-02-17 23:03:58,b'@ChaseforBiz Thank you for making it possible!'
832714022956957696,2017-02-17 22:11:08,b'@alisonmf I counted 56 total!'
832713276580524032,2017-02-17 22:08:10,"b""RT @ToniWarren_: It's finally here! @CODEfilm viewing @TheIronYard #TampaBay after the diversity and inclusion panel with @rodneysampson #T\xe2\x80\xa6"""
832713143344328705,2017-02-17 22:07:39,b'RT @Elevate_Inc: #TeamElevate had a wonderful time this morning @TBStartupWeek w/ @Priatek! Milind did an awesome job speaking! @stationhou\xe2\x80\xa6'
832696265666228226,2017-02-17 21:00:35,"b""It's not over yet! Come down to @Nova_535 for the #TBSW17 finale party sponsored by @StPeteFL! It's gonna be amazin\xe2\x80\xa6 https://t.co/MQ7KsHydVr"""
832677466728693760,2017-02-17 19:45:53,"b'RT @kiki_roeder: Diversity &amp; inclusion is centerstage in a awesome talk with leaders from @TechSquare, @techstars, @IronYard, @Tech_Data &amp;\xe2\x80\xa6'"
832677206526566400,2017-02-17 19:44:51,b'RT @valerie_ellis7: #TBSW17Vets Pitch Round Table commencing!  Lots of hungry #Vetrepreneurs anxious to soak up advice from our mentors. #T\xe2\x80\xa6'
