id,created_at,text
854796492254715905,2017-04-19 20:38:59,b'RT @Gallagher_Tech: A look at student-designed and facilitated #makerspaces: https://t.co/jPfVvVDL8I . by #edutopia via @c0nvey https://t.c\xe2\x80\xa6'
852620457312477186,2017-04-13 20:32:12,"b'RT @MrSchuReads: ""Desertification"" by @donalynbooks https://t.co/r4F9ERWTi5 https://t.co/utzWgYEGyz'"
852356070047698944,2017-04-13 03:01:37,"b'RT @TLJamesA: A1 Library exists to support entire school. Reading, curriculum, projects, professional learning, music, plays, games, all of\xe2\x80\xa6'"
843980440012840962,2017-03-21 00:19:51,b'Thanks for joining us! @amylpie https://t.co/53PGZCwERX'
843491880348221440,2017-03-19 15:58:30,b'So proud of this son of mine. He is turning in to an amazing young\xe2\x80\xa6 https://t.co/jRu2yn0z2K'
842865437360766977,2017-03-17 22:29:14,b'Love love love https://t.co/cm7BIPLn5q'
842863507288870913,2017-03-17 22:21:34,b'RT @Makerspaces_com: Build a #Makerspace That Engages Students Across Every STEAM Subject - via The Journal https://t.co/6n6605EzAN #makere\xe2\x80\xa6'
842860502715981826,2017-03-17 22:09:38,b'Brilliant idea!!  https://t.co/GyVlSD8nhP'
839875261374033922,2017-03-09 16:27:21,"b'RT @tvlachak: National #Library Week will be April 9-15, 2017. Celebrate that week by following the #NationalLibraryWeek and #LibrariesTran\xe2\x80\xa6'"
839870576244191233,2017-03-09 16:08:44,b'RT @soxnevad: Take a virtual field trip to explore #womensrights Checkout our interactive stores and learn with us! #edchat #thinglink360 #\xe2\x80\xa6'
839517252739297281,2017-03-08 16:44:45,b'RT @Makerspaces_com: Libraries are becoming places for making and hands-on learning.  Great graphic from @kristawelz shows some potential a\xe2\x80\xa6'
836738065175625729,2017-03-01 00:41:15,b'RT @TLJamesA: Reminder.. #KyLChat tonight 8pm ET Collaborative Leadership #futurereadylibs #tlchat Please join us! @KASL_Librarians @KyLCha\xe2\x80\xa6'
836737818533724160,2017-03-01 00:40:16,b'RT @MaineSchoolTech: Please help @istelib honor great Teacher Librarians! Primary: https://t.co/adEd1JCzFh  Secondary: https://t.co/OTwDtUB\xe2\x80\xa6'
836729938753519616,2017-03-01 00:08:57,"b'@Gallagher_Tech @soxnevad I made my 360 thinglink a clue to my physical breakout, never thought to actually make it the breakout! Thanks!'"
836722934039392257,2017-02-28 23:41:07,b'Love integrating @ThingLink and @breakoutEDU . Thank you so much @Gallagher_Tech and @soxnevad'
832643916021194753,2017-02-17 17:32:34,b'I will be a panelist! Come by and check it out! https://t.co/V5KfRjyc2l'
830045426405535746,2017-02-10 13:27:05,b'RT @stony12270: 4 ways to lead from the school library: https://t.co/QU0UyCO2Ys #tlchat #edchat #leadupchat #StonyStories'
826471985760858112,2017-01-31 16:47:31,"b""RT @inglerectech: Makerspacin' with @bigguyinabowtie @MCS_ITSgirl  @adee_ellis @ElishaRogers24 @bookqueen4ever @NMHSmediacenter"""
826170016684982272,2017-01-30 20:47:36,b'How to Differentiate Assignments in Google Classroom #gttribe #SUL #googleedu https://t.co/D0JvgU6KYF via @ShakeUpLearning'
821744642538504192,2017-01-18 15:42:44,b'Just became an official #Thinglink certified educator! So excited! https://t.co/wf0w5aPCv1'
821117624184635396,2017-01-16 22:11:11,"b'RT @robert_schuetz: Nocking the Arrow | ""Board Games in the School Library; 3 Reasons Why it\'s a Winning Play"" https://t.co/2agbqJtde1 #pla\xe2\x80\xa6'"
820281816053665793,2017-01-14 14:49:59,b'https://t.co/ivIkbGl13f'
819344818476351488,2017-01-12 00:46:42,b'RT @Mr_B_Teacher: Small Group Collaboration in #GoogleEDU Classroom Made Easy w/ new features! #edtech #gafechat #tlap #googleei https://t.\xe2\x80\xa6'
819241141996552196,2017-01-11 17:54:43,b'Donate to my donors choose project and help my library with our coding club! https://t.co/mvq0mPUdqU'
816327001057284098,2017-01-03 16:54:58,"b'Take the New Year, New Lifestyle pledge to win a Fitbit Alta &amp; Teami Detox Starter Pack! @TeaMiBlends https://t.co/dvyP1EczI0'"
797058299241857024,2016-11-11 12:48:01,b'RT @KMeyering: \xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0GRANT\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0https://t.co/5dVlrtYbsr Due in February-$1000! Easy application! #DoIt Thanks @CathyMPalmer'
794706444075626496,2016-11-05 01:02:35,"b'RT @SpheroEdu: In it to win it. Follow us, RT this post and a brand new SPRK+ Power Pack could be yours. #GetOnTheBall\n\nRules: https://t.co\xe2\x80\xa6'"
794574268059308035,2016-11-04 16:17:22,"b""#GaETC16 Closing session! So sad to be leaving. Can't wait till next year! @Dustworth @MCS_ITSgirl #murrayproud https://t.co/Vj7o3QKyJx"""
794544921021706240,2016-11-04 14:20:45,b'Come join us! #GaETC16 @amylpie https://t.co/BPgpVhFsez'
794527083946975232,2016-11-04 13:09:53,b'RT @MCS_ITSgirl: Last day of #GaETC16 with @adee_ellis. Ready to win some prizes at the closing keynote! https://t.co/XdyqQ9m5Pv'
794526590008983552,2016-11-04 13:07:55,b'Loved this booth! Thanks for sharing #bytespeed https://t.co/MvWLr0MbLW'
793817369542098944,2016-11-02 14:09:43,b'#GaETC16 https://t.co/BBPuvoOdTP'
789644223029051392,2016-10-22 01:47:08,b'Great article with green screen ideas! https://t.co/SPMLRCbwcH'
783470313770258432,2016-10-05 00:54:13,b'@MCS_ITSgirl Think they will let us go to Hawaii? \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/LgPOqTyqjK'
783320057577345024,2016-10-04 14:57:09,"b""Thanks for the great idea @stony12270. Can't wait to see it in action! https://t.co/cLv1B4mzqE"""
780790904122699776,2016-09-27 15:27:12,b'35 Awesome Apps that Integrate with #GoogleClassroom! https://t.co/MzGKFaDq4p via @ShakeUpLearning'
779428189156347904,2016-09-23 21:12:16,b'Thanks @bradfountain for the great tip @WestGeorgiaRESA. The kids loved coding with solo cups! https://t.co/BFe3ZUul3z'
779088970617647105,2016-09-22 22:44:20,b'Thanks @bigguyinabowtie for the tip @WestGeorgiaRESA. My students used snapchat as a qr reader during our scavenger\xe2\x80\xa6 https://t.co/MgslNsms0P'
777146382515900417,2016-09-17 14:05:10,b'@HibbettSports @gladden_library'
776553186144419840,2016-09-15 22:48:01,b'Help us bring @breakoutEDU to our district! Come show us how we can implement this amazing tool in our schools!  https://t.co/Cc2VUECbZS'
776551587342848000,2016-09-15 22:41:40,"b""@ThingLink_EDU Just signed up for a boot camp to head my way! Can't wait to learn more about thinglink vr"""
776446421335695360,2016-09-15 15:43:47,b'Loving new products from VariQuest! @WestGeorgiaRESA @MCS_ITSgirl @melbeanAVISPL https://t.co/5g4BekDmfn'
776438851954995200,2016-09-15 15:13:42,b'Loving my sessions @WestGeorgiaRESA Tech Conference! https://t.co/Fz42Wijuct'
