id,created_at,text
862138243923546112,2017-05-10 02:52:29,"b'RT @BrianaMetz: #Amazon is hiring! #Security #Engineer in #SeattleWAUS, apply now! #job https://t.co/3oPMh9bhYB https://t.co/7xEylNCqMk'"
862137961135177729,2017-05-10 02:51:22,"b'RT @Snowden: This FBI Director has sought for years to jail me on account of my political activities. If I can oppose his firing, so can yo\xe2\x80\xa6'"
859915342100955137,2017-05-03 23:39:28,b'RT @TheOnion: Security Experts Advise Americans To Not Click Anything http://t.co/45ZAuVnhbH http://t.co/hi459IkvfF'
859901691474452480,2017-05-03 22:45:14,"b'RT @Lerg: @Maliciouslink Come on Jerry, you know the rule. No logo, no catchy name, no freak out.'"
857362540640301056,2017-04-26 22:35:33,b'@geekevolved @willasaywhat Florida bar says 15 days to notify you: https://t.co/KAqnEt39vO'
857361922278207492,2017-04-26 22:33:05,b'@geekevolved @willasaywhat https://t.co/Stc2AWJAu9'
857361540122632193,2017-04-26 22:31:34,b'@geekevolved @willasaywhat Sometimes all it takes is a sternly worded letter.  In FL do they have a certain amount\xe2\x80\xa6 https://t.co/Mn60hGgjEo'
856580406925197312,2017-04-24 18:47:38,b'RT @BaconZombie: Anybody know if there is a GitHub repo with Auditd configs for different OSs which will capture all that an IR team would\xe2\x80\xa6'
855779093304025089,2017-04-22 13:43:30,"b'RT @PascoSheriff: If you or someone you know is contemplating suicide, please reach out for help! National Suicide Prevention Lifeline: 1-8\xe2\x80\xa6'"
855778799262326786,2017-04-22 13:42:20,"b'RT @PascoSheriff: Drinking and driving NEVER mix.  We will find you, we will arrest you. https://t.co/rSAW4OQZEK'"
855232670623821824,2017-04-21 01:32:12,"b""@geekevolved That's awesome.  You should be excited, at least until report time."""
854797653179346944,2017-04-19 20:43:36,"b""RT @lifehacker: Worried you stink and you just can't tell? BO, breath, hair... Here's how to check if you smell: https://t.co/NwmgHnTqrV ht\xe2\x80\xa6"""
854779526110486529,2017-04-19 19:31:34,b'RT @mollypriddy: may your day be as gentle and calm as this tiny crab eating a cherry https://t.co/EMA1ODztQw'
853309804772806656,2017-04-15 18:11:25,b'@ACatNamedMo My girlfriend in the early 90s made me watch it.  It was so god damn bad.'
853309323560312834,2017-04-15 18:09:31,b'@ACatNamedMo thank you for hating dazed and confused.  My entire generation loves it.  Dumb high hippies.'
852983643450601474,2017-04-14 20:35:22,"b""RT @shondarhimes: Tax $ never funded abortion. You eliminated cancer screening, STD testing, family planning &amp; women's healthcare. Nothing\xe2\x80\xa6"""
852983444003065857,2017-04-14 20:34:35,b'WTF is going on with the Drupal community?  Why oh why are we so concerned about what consenting adults do?'
852971439103893504,2017-04-14 19:46:53,b'RT @BSidesTampa: Guess what movie we will be showing during our December party !!\n https://t.co/ch9OQl6PdT'
852544622270324736,2017-04-13 15:30:52,b'RT @SwiftOnSecurity: If I get 17 million retweets I will switch to Gentoo'
852164399234260993,2017-04-12 14:19:59,b'@mbeckler Mmmmm....poutine'
852163736156741632,2017-04-12 14:17:21,b'RT @godtributes: @can0beans SHENANIGANS UNTO THE SHENANIGAN GOD'
852163587913261059,2017-04-12 14:16:46,b'.@MrMikeCalta @BTLSRadio More morning radio shenanigans a foot....'
852163185574633472,2017-04-12 14:15:10,"b'I\'m about 80% sure I just saw Rob formerly from the @MrMikeCalta show outside of the @BTLSRadio ""compound"".'"
851972166954483712,2017-04-12 01:36:08,b'Twitter is garbage for this discussion.... https://t.co/ZJRVVgiNei'
851971825764630528,2017-04-12 01:34:46,"b""@irongeek_adc @GadSaad I'm watching My Chat with Dan Dennett  with Gad -- where they address post modernism. https://t.co/h8kJWExAdj"""
851971255834169344,2017-04-12 01:32:30,"b""@irongeek_adc I also think I should clarify, I don't know that I agree with postmodernism, but I don't think that m\xe2\x80\xa6 https://t.co/Tedl3YRxKi"""
851969135814856705,2017-04-12 01:24:05,"b""@irongeek_adc @GadSaad Can you point to one in particular?  I'll give it a listen."""
851968837553725441,2017-04-12 01:22:54,"b""@irongeek_adc I guess since it's stupid twitter, point to a definition of post modernism that matches your understa\xe2\x80\xa6 https://t.co/QiAj8igP8X"""
851968270567649281,2017-04-12 01:20:39,b'@irongeek_adc Any good liberal arts program should be focused on thinking. Please define postmodernism.'
851967127527596034,2017-04-12 01:16:06,b'@irongeek_adc My IT mentor had a degree in philosophy.  He was wicked smart.  His degree had taught him to think.'
851966859767361537,2017-04-12 01:15:02,"b'@irongeek_adc Trade schools should be trade schools but university became high school v2, we had to dumb it down so\xe2\x80\xa6 https://t.co/Wajg6Pb2jo'"
851966473203527680,2017-04-12 01:13:30,b'@irongeek_adc I believe the problem is that college/university has become the new high school diploma.'
851966056319025152,2017-04-12 01:11:51,"b""@irongeek_adc University shouldn't be a trade school."""
851880353258250241,2017-04-11 19:31:18,"b'RT @antitree: An Asian man was sitting in the front seat of my United flight. I wanted to whisper ""Good luck, man...""'"
851874298436497408,2017-04-11 19:07:14,"b""RT @GoForTopherB: Know what wouldn't cost a billion dollars? Treating people humanely. $UAL #united3411 #BoycottUnitedAirlines https://t.co\xe2\x80\xa6"""
851872343291047937,2017-04-11 18:59:28,"b""@human0x27 See making changes on a Friday isn't so bad.... https://t.co/2FUTPakuGz"""
851869082886574085,2017-04-11 18:46:30,"b""@G13net As a con organizer, I wouldn't penalize you for having to back out.  I get it, shit happens. A no-show the\xe2\x80\xa6 https://t.co/IZ6A3zHmO8"""
851866342131212289,2017-04-11 18:35:37,b'@G13net Are you resubmitting to the same instance of the con that you backed out of or the following year?'
851853248810156032,2017-04-11 17:43:35,b'RT @jeremycec: Those CIA exploit tools are in the wild and actively being used now.\nhttps://t.co/d6VOMcm2u2'
851853199019569156,2017-04-11 17:43:23,b'@G13net How friendly was the backout?  Was it like 2 days before the con or was it a reasonable amount of notice?'
851769414143942657,2017-04-11 12:10:28,b'The whole Alexa @BTLSRadio  bit is just plain not funny.'
851594485591154688,2017-04-11 00:35:21,"b'RT @traecrowder: As a comic/dad I will never be able to not laugh when I shouldnt, e.g. my 5 year old arguin with his mom and callin her mo\xe2\x80\xa6'"
851594412987699204,2017-04-11 00:35:04,b'RT @traecrowder: This 2 year old girl at Legoland stomping a bucket of Legos like theyre grapes is CLEARLY an X-man. Hell Wolverine wouldnt\xe2\x80\xa6'
851594156485087232,2017-04-11 00:34:03,"b'RT @hypatiadotca: Reminder that @SlackHQ is hiring a bunch of security peeps, including my job running Incident Response: https://t.co/NMcl\xe2\x80\xa6'"
851593903509786624,2017-04-11 00:33:03,"b'RT @MrAtheistPants: A message to all my friends celebrating Passover: There is no god. Also, celebrating the death of first-born children i\xe2\x80\xa6'"
851593467583180801,2017-04-11 00:31:19,b'@brentwdesign @geekevolved @BsidesORL Dammit you beat me to it...'
851593061507399685,2017-04-11 00:29:42,"b""This whole Bsides global org thing has me wrapped around an axle. I think it's the wrong direction but not sure I want to get into the fray."""
851494333434011648,2017-04-10 17:57:23,b'@mbeckler I just wish it was Black Sabbath mode.'
851493548797169664,2017-04-10 17:54:16,"b""@mbeckler Then you'll enjoy the Kosher Switch. https://t.co/B9vpOrlFp8"""
850784095458217984,2017-04-08 18:55:09,"b'RT @dafthack: Here\'s my slides to my ""Pwning the Enterprise With PowerShell"" talk from @BsidesORL - https://t.co/VCvz5GFJqf #PowerShell #pe\xe2\x80\xa6'"
850718274593665024,2017-04-08 14:33:36,"b""I'm such an asshole.  Good thing for me you all can't read my mind. https://t.co/8NvgoYHdKS"""
850699770486288384,2017-04-08 13:20:05,"b'Local government ""Brilliant!""'"
850699661333680128,2017-04-08 13:19:39,"b'I imagine I-4 planners ""when driving it during the morning commute it will give you the experience of actually driving into the sun"".'"
850696014281539584,2017-04-08 13:05:09,"b""RT @SteveHardee: If you're in Orlando today, make sure you check out @BsidesORL. $20 for excellent talks &amp; an opportunity to meet many grea\xe2\x80\xa6"""
850661856620548096,2017-04-08 10:49:25,b'@BsidesORL bound....'
850523084029403136,2017-04-08 01:37:59,"b""@irongeek_adc It was on my blog.  I can share with you, if you'd like.  Blog is gone, just going through old files."""
850522495895646208,2017-04-08 01:35:39,"b'Speaking of @irongeek_adc, just unearthed an article I wrote in 2010  ""The value of the 0-day or why Adrian Crenshaw has it right""'"
850521264494043136,2017-04-08 01:30:46,b'@irongeek_adc Not a Trump supporter and terribly conflicted on his actions.  Need more time to mull it over.'
850518059102195713,2017-04-08 01:18:01,b'RT @EanMeyer: The @BsidesORL team getting your swag bags stuffed! Tons of effort goes into this to make it awesome! https://t.co/6SS1GnkF48'
850516018820763648,2017-04-08 01:09:55,b'@geekevolved Test that hypothesis.  #WeinersOut https://t.co/ZDIaNjrI73'
850512513884200961,2017-04-08 00:55:59,"b""We'll see just how bad I want that @BsidesORL t-shirt when the alarm goes off at the ass crack of dawn tomorrow morning."""
