id,created_at,text
850776820362485762,2017-04-08 18:26:15,b'Now! https://t.co/gpptZ1AR04'
842736863748243456,2017-03-17 13:58:20,b'I want to college students WIN too. Applying more pressure across\xe2\x80\xa6 https://t.co/TLC6eYrmLC'
842715585851068419,2017-03-17 12:33:47,b'Hanging out with the Fiver team @ SJSU King Library https://t.co/odQeA3SztM'
835816687765172224,2017-02-26 11:40:01,b'Do your friends challenge you everyday to be better? Do they push\xe2\x80\xa6 https://t.co/Lzx5u7T7Bz'
831379833506713601,2017-02-14 05:49:33,"b'Wealth accumulation, health, and family! Next stage...God blessed me\xe2\x80\xa6 https://t.co/kZ5eNISazS'"
797919410585407488,2016-11-13 21:49:46,b'Ethiopian Beer-Africa @ Messob Ethiopia Restaurant- Oakland https://t.co/YABY2F2o6D'
797917799276486657,2016-11-13 21:43:22,b'Ethiopian Vegetarian Messob. The Injera superfood. @ Messob Ethiopia\xe2\x80\xa6 https://t.co/xkG38uYm7S'
793669419033464833,2016-11-02 04:21:49,b'https://t.co/7KGzstfA2E'
786537816817819648,2016-10-13 12:03:23,b'This is the last month to vote. Getting closer. See below in the\xe2\x80\xa6 https://t.co/RRaek6jMsS'
785664813800099841,2016-10-11 02:14:23,"b""Here's my story on how I made it from the streets of Ft Myers to Wall Street. Figured I'd share \nhttps://t.co/GKGNtudSKG"""
769956929540067328,2016-08-28 17:56:51,b'Just donated $2k worth of suits. Bless others with tour blessing.\xe2\x80\xa6 https://t.co/dvfMTU7yAC'
767341190953836548,2016-08-21 12:42:51,"b""RT @chris_fils: Here's the link!  https://t.co/uBmWcUJD4G"""
765671385184268288,2016-08-16 22:07:38,b'Live Anywhere Work Everywhere. The grind is Omnipresent. Boss\xe2\x80\xa6 https://t.co/4ciplPby5b'
764583290925965313,2016-08-13 22:03:56,b'Health is wealth. 29 going on 18 NYC City Challenge\n#omnipreneur\xe2\x80\xa6 https://t.co/kh9gVDdkP0'
746824034562740225,2016-06-25 21:54:59,"b""philomen69's video https://t.co/Txp6xqciFu"""
737628488442777600,2016-05-31 12:55:10,"b""RT @PeterVoogd23: I promise you you'll never ever meet a successful hater. They don't exist. https://t.co/d8qz32P1sY"""
734930384337698816,2016-05-24 02:13:52,b'The 15 Laws of a Designed Life - The Omnipreneur https://t.co/Lr1YAIo0eK'
734929690985664512,2016-05-24 02:11:07,b'https://t.co/iM4PcIWHd5'
734393435222908929,2016-05-22 14:40:13,"b""RT @IamJoelBrown: Hustle until your haters ask if you're hiring! https://t.co/62ru1kihK4"""
734114681770610689,2016-05-21 20:12:33,b'https://t.co/DuaHdmTo7p'
731631345923981318,2016-05-14 23:44:40,"b""I'm not a writer just don't push me. F30S Reinvention of Self https://t.co/BFYkIds1OI"""
728700411624960000,2016-05-06 21:38:11,"b""Here's the link!  https://t.co/uBmWcUJD4G"""
728700132372434944,2016-05-06 21:37:04,b'Thanks for the nominations. The more the greater #30under30'
728549653638156288,2016-05-06 11:39:07,"b""RT @PeterVoogd23: It's easy to make decisions when you determine what your real values are \xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf"""
724675909861662720,2016-04-25 19:06:15,b'RT @StephenCurry30: Thanks 4 all the prayers &amp; messages. Can feel all the positive energy. God is Great! All things considered I\xe2\x80\x99m Gonna be\xe2\x80\xa6'
724675875350953985,2016-04-25 19:06:07,b'@StephenCurry30  you got this'
724294737524600832,2016-04-24 17:51:36,b'Invest in things that pay you. The bargain shopper. https://t.co/qw2F0O9Sw0 https://t.co/4nKvXwlJsx'
724270354886176768,2016-04-24 16:14:43,b'Today was tough. Completed a slow 8. Goal was 9 https://t.co/tpJ3dZVqxe'
719321052459986944,2016-04-11 00:27:57,b'RT @GrantCardone: #grantcardone #quoteoftheday https://t.co/E2gwaCrIwf'
719142096209342464,2016-04-10 12:36:51,b'How I got into 8 Ivy Leagues and 13 other schools: https://t.co/DbDn8x8DOb'
718780715639431168,2016-04-09 12:40:51,b'Read More. Speak Less C.Fils'
717191948356952069,2016-04-05 03:27:39,b'RT @1340AMFOXSports: WOW JUST WOW! #NationalChampionship https://t.co/ZghhDYB2rs'
717191868338073601,2016-04-05 03:27:20,b'Now this is a game #NationalChampionship'
716788019685142529,2016-04-04 00:42:35,b'Test Driving the Tesla S https://t.co/afvacMs3ym'
716787539819040768,2016-04-04 00:40:41,"b'RT @PeterVoogd23: \xe2\x80\x9cBranding ultimately needs to come from you, and to come from within.\xe2\x80\x9d - Jessica Nazarali https://t.co/TbRxhcw5jG https:/\xe2\x80\xa6'"
716787474408857600,2016-04-04 00:40:25,b'Good word here https://t.co/jqMpOpLTCn'
709005232261484544,2016-03-13 13:16:34,"b""RT @StephenCurry30: This is a rule I live by. What's yours? Share with #RuleYourself and tag @UnderArmour for a chance to win UA gear. http\xe2\x80\xa6"""
674379710151974913,2015-12-09 00:07:06,b'@Entrepreneur @thebizguy all about systems'
674379374104346625,2015-12-09 00:05:46,b'@BrianWillisTPA Bull for life!'
674379316503924736,2015-12-09 00:05:33,b'RT @BrianWillisTPA: Celebrating the dedication of the new USF Medical School in #downtown #Tampa #gobulls https://t.co/h9Zd3ARSPt'
