id,created_at,text
862767905649381378,2017-05-11 20:34:32,"b""My students Love, Love Osmo!  Our library has them all it's the most requested item to use!  #edtech #tlelem https://t.co/OB05L3lngq"""
862711438745493504,2017-05-11 16:50:10,b'Osmo is awesome! The first 5 orders using my link get a discount off any full Osmo Kit: https://t.co/T4PqZ3TUEP @playosmo #osmo'
862618240903720960,2017-05-11 10:39:49,"b""Buenos dias!  It's #ThankfulThursday and time for your #ABunceeADay @Buncee Let's find your Zen today!!!!  Have a d\xe2\x80\xa6 https://t.co/UncylFZyMW"""
862617226960134146,2017-05-11 10:35:48,b'RT @EdTechAmber: #sketch50 This one goes out to all my amazing #makerspace pals @elaine_deja @Penchevable @nathan_stevens @DianaLRendina ar\xe2\x80\xa6'
862412102253850624,2017-05-10 21:00:42,b'RT @shannonmmiller: You Will LOVE Creating A Virtual &amp; Visual Library Space With @Buncee https://t.co/DUh14QU7Jg https://t.co/hcGqva4wVM'
862269026193612800,2017-05-10 11:32:10,b'@Buncee @shannonmmiller @ProfeEdTech @smgaillard @LennonCorey @mariearturi @clairecucchi @anichols32 @techcoachz\xe2\x80\xa6 https://t.co/LyXUAaIBUE'
862258563758137344,2017-05-10 10:50:36,b'Good morning and wishing you a great day!  Here is the #ABunceeADay @Buncee https://t.co/DKkLLHO6Zu'
862233426426044417,2017-05-10 09:10:43,"b""RT @chatzopoulosn: Today's ST4T Spotlight Speaker: @elaine_deja More information on the schedule, events, and NEW features https://t.co/d2m\xe2\x80\xa6"""
861894700973924352,2017-05-09 10:44:44,"b""It's #TootlingtTuesday and here is your #ABunceeADay @Buncee Have a excellent Tuesday! https://t.co/fRElRJ3P2Z"""
861680246076190720,2017-05-08 20:32:34,b'@shannonmmiller @kellylibrarian1 @Buncee here is the link to my home page in Follete  https://t.co/LNleSQ0Eqg https://t.co/RTtqtU9779'
861678960941441025,2017-05-08 20:27:28,"b'@kellylibrarian1 @Buncee @shannonmmiller Kelly, .  You need to take embed code from Buncee and put in your webpage. https://t.co/zWdzKHneMc'"
861534906001784832,2017-05-08 10:55:02,"b""Good morning! It's #CelebrteMonday and time for the #ABunceeADay @Buncee Have a glorious week!!  Getting closer to\xe2\x80\xa6 https://t.co/WaKgdQ6d5n"""
861323160158863360,2017-05-07 20:53:38,b'My newest Library signage @Buncee added to existing signage Thanks for creating the kitchen stickers!\xe2\x80\xa6 https://t.co/xbSCi7nzQF'
861293868012236800,2017-05-07 18:57:14,b'RT @Alex_Corbitt: 10 Reasons Librarians Are More Important Than Ever \xf0\x9f\x93\x9a\xf0\x9f\xa4\x94\xf0\x9f\x8f\x86\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd (by @woodard_julie &amp; @CommonSense) #edchat #education #edtech #e\xe2\x80\xa6'
861249540829192192,2017-05-07 16:01:06,b'Re-design your learning space at https://t.co/oSWoTTxl8Y - Join our challenge for more fun! https://t.co/W3KnvMObSR'
861184758579122176,2017-05-07 11:43:41,"b'RT @Tabayoyon25: So rad, so simple. Definitely stealing this idea @edcampOSjr #cueBOLD #usdlearns https://t.co/jfYg4ayY04'"
861184680787365891,2017-05-07 11:43:22,b'RT @jmattmiller: Bye bye BORING book reports! By @annkozma723\n\nSlides: https://t.co/TDzksO9v9P #cuebold #tlap #ditchbook https://t.co/PrTm4\xe2\x80\xa6'
