id,created_at,text
664796567212269568,2015-11-12 13:27:07,b'@afrazpv https://t.co/D8LOQiwMlM'
664796556957233152,2015-11-12 13:27:05,b'@jvictor2040 https://t.co/3PKNpgX0gk'
664796544605011968,2015-11-12 13:27:02,b'@lpc33 https://t.co/LHEmjMzFJ1'
664796518457737217,2015-11-12 13:26:55,b'@nagatien https://t.co/0OTSfVPhOQ'
664796507791560704,2015-11-12 13:26:53,b'@leslie2fqbf https://t.co/4rWkfFmL9I'
664796493744873472,2015-11-12 13:26:50,b'@duz1573 https://t.co/qka3hpUiKf'
664796479685533696,2015-11-12 13:26:46,b'@sahnin76 https://t.co/nbQF2fzMxq'
664796470512656384,2015-11-12 13:26:44,b'@francisflandro1 https://t.co/bS5weoXAqQ'
664796453492154369,2015-11-12 13:26:40,b'@juanantoniohp https://t.co/yv3L0UF8ET'
664796441190252545,2015-11-12 13:26:37,b'@jainm79 https://t.co/2WkAaRzW77'
659163636162662400,2015-10-28 00:23:52,"b'RT @LPC33: Congrats @kapil_jn, @siva_twitt @Syniverse for @Oracle innovation award!!#oow15 https://t.co/yPSvO6pC3g'"
659162453494751232,2015-10-28 00:19:10,b'RT @LPC33: @Oracle @Syniverse #oow15 - Prem Sivakkolundho on panel for success w #coherence'
266296388730617856,2012-11-07 21:49:41,b'My friends started noticing the change during the fourth week of putting Raspberry Ketone diet to work http://t.co/jUvscMP2'
263123454126075904,2012-10-30 03:41:34,b'How Much Ketone is Right for Me? http://t.co/Ifewhphu'
