id,created_at,text
862874470490308610,2017-05-12 03:37:59,b'@GrantFrend @JeffreyCurwen @dkvandergugten @datruss Cool!'
862874414374821888,2017-05-12 03:37:46,b'RT @GrantFrend: Nice! How about a multi-district student design challenge next year? @JeffreyCurwen @dkvandergugten @datruss @librarymall h\xe2\x80\xa6'
862415958672932864,2017-05-10 21:16:02,b'Just discovered @tangibleint https://t.co/Y8wHDoaYgb Seriously... #wow #sd36learn #makered @vanmakerfaire #makeredbc'
862096595646414848,2017-05-10 00:07:00,b'Only 1 more day until #GettingTo5050 Join a #global discussion on a more #gender equal world #sd36learn\xe2\x80\xa6 https://t.co/BJnIW949cz'
862094499077541889,2017-05-09 23:58:40,b'Wonderful video primer on #feminism &amp; #socialchange via @tiffanyshlain  https://t.co/JJ30Q7lFZ9 #5050 #sd36learn #tlchat #womenintech'
862051553380782080,2017-05-09 21:08:01,b'Thanks @shelleytbrett for the paper for Canada wide Science fair @36Sail students leaving this Sunday #SD36learn https://t.co/91RAgcAjg1'
861618479727693824,2017-05-08 16:27:08,b'Why our kids should learn to be hackers https://t.co/BJWVXl8YOC #cyberliteracy #cybersecurity #careers'
861617353359974400,2017-05-08 16:22:39,b'Why our kids should learn to be hackers https://t.co/BJWVXl8YOC via @sparkcbc #sd36learn #bcedchat #makered #makeredbc #hacking #security'
860593006587428865,2017-05-05 20:32:16,"b'RT @L_Bettencourt7: By 2027, we need to teach 10 million Canadians to code or we\xe2\x80\x99ll get left behind - The Globe and Mail https://t.co/caxuw\xe2\x80\xa6'"
860592830732845056,2017-05-05 20:31:34,b'Solving all the wrong problems. What is the why behind what we make #sd36learn #makered #makeredbc #design\nhttps://t.co/hndrNWGfhz'
859566325429030912,2017-05-03 00:32:36,b'Remember #Canada Learning #code week June 1-8 https://t.co/9Pkt5TGXcY #makered #makeredbc #sd36learn @36Sail #bcedchat'
859482260940009472,2017-05-02 18:58:34,b'#creative women need to get paid fairly Here are some tips: https://t.co/L3ZDSw3WlN'
859185936046764032,2017-05-01 23:21:04,b'DuoSkin:Functional stylish on-skin user interfaces https://t.co/u1XX1pfFIF https://t.co/hQGSTfl9gj #wearables #makered #fashion @36sail'
