id,created_at,text
863190825156661249,2017-05-13 00:35:04,"b'RT @Fargo3DPrinting Took a visit to @Protosthetics &amp; saw their custom ""Tallboy"" @lulzbot3D TAZ machines. #3dprinting https://t.co/EZB1TWDDht'"
863146809916608513,2017-05-12 21:40:10,b'RT @Coxitron3D: Printing #R2D2 #Droid head in @colorfabb_official #nGen @lulzbot3d #3dprinting #arduino #lulzbot https://t.co/OFBIZtw69A'
863115336849252354,2017-05-12 19:35:06,b'RT @AmericaMakes Director Rob Gorham takes a min to  #3Dprint in #VirtualReality: a new way to train!  @lulzbot3D https://t.co/v0n0RoYzAn'
863085151206690817,2017-05-12 17:35:10,b'RT @dchristerocks Pushing the limits of our @lulzbot3D to produce an @netfabb lattice bike frame.  #generativedesign https://t.co/aKliHfJ6Kt'
863064212418985984,2017-05-12 16:11:57,b'RT @DGaylord3D: Just a few of the designs from the #EnvisionTheFuture contest. So awesome! @MatterHackers @lulzbot3D @Enablethefuture @pins\xe2\x80\xa6'
863038666217803777,2017-05-12 14:30:27,b'RT @FrewsCrews: We are READY for a Remake Learning Days @FrewsCrews @remakelearning https://t.co/nzf5UJJLUd'
862887222416207872,2017-05-12 04:28:40,b'RT @TheNegroku: My lunch break turned into sanding and priming #overwatch #cosplay #cosplayer #props #dva #blaster #propmaker #3dprinting @\xe2\x80\xa6'
862706474996334592,2017-05-11 16:30:26,b'RT @ASDMrWhite Playing around w/the settings in Cura 2.5 to see what I can do with my @lulzbot3D printers.  @HackPGH https://t.co/cCk3zazhCg'
862703337531219968,2017-05-11 16:17:58,b'This student designed model was 3D printed on a LulzBot TAZ 6!\n\n#makered #edtech #edtechchat #edchat https://t.co/Jm2bO1AYZo'
862702943665106945,2017-05-11 16:16:24,"b'RT @SarahGoehrke: Off with team @lulzbot3D tonight, visiting with @MatterHackers &amp; more in PGH! https://t.co/TZrmnP5ztY'"
862669627314327552,2017-05-11 14:04:01,b'Take Open Source Hardware for a spin! 3D Print your own LulzBot #spinner: https://t.co/vHT1Dma21s https://t.co/ABRUfW2Xn4'
862398129148227589,2017-05-10 20:05:11,b'RT @larapanget: waaaaa! he turned out super cute!! \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d #babygroot #3dprinting #lulzbot https://t.co/ZL22N71VBG'
862368688829288448,2017-05-10 18:08:12,b'RT @HackHitchin: Many thanks to @ukhackspaces &amp; @lulzbot3d for donating a 3d printer. Looking forward to getting it up and running in the n\xe2\x80\xa6'
862367929928744964,2017-05-10 18:05:11,b'RT @Coxitron3D Printing #R2D2 #Droid head in @colorfabb_official #nGen Silver Metallic #3dprinting #arduino #lulzbot https://t.co/OFBIZtw69A'
862337771058475011,2017-05-10 16:05:20,b'RT @SugarSwank: Freshly printed Groot.\n.\n.\n.\n.\n.\n#iamgroot #gotg #guardiansofthegalaxy #groot #lulzbot #3dprinting https://t.co/gGonWnOjXH'
862315076832940033,2017-05-10 14:35:10,b'RT @tomshepp: Absolutely blown away with the #Lulzbot Mini 3D printer! #edtech https://t.co/oCmr5JKGV0'
862302513164374016,2017-05-10 13:45:14,b'RT @iammrsnix:  #3Dprinted an alpha lock ring on our @lulzbot3D for @SarahTidwell6 to see if it works! #breakoutedu https://t.co/dduwItK6g9'
862301329330499584,2017-05-10 13:40:32,"b""The world's first Certified Open Source Hardware 3D printing filament is now available in the LulzBot store!\xe2\x80\xa6 https://t.co/kecRHqZVG0"""
862169252295569408,2017-05-10 04:55:42,b'RT @CassaronyPrints: Layers \xf0\x9f\x91\x80 #3dprinted #additivemanufacturing #rapidprototyping #3dprinting #3dprint #3dprinter #lulzbot #taz5 #filam\xe2\x80\xa6 ht\xe2\x80\xa6'
862046815348281345,2017-05-09 20:49:11,b'@FishBowlSupreme @RAPID_Event Shame you missed us! Here are the files for the fidgets and spinners we were giving a\xe2\x80\xa6 https://t.co/K2wPBsGJL6'
862046477128011776,2017-05-09 20:47:50,"b'RT @PatchBOTS: The first part of my Chopper build is up on youtube, check it out! https://t.co/Gp2xX3rqxu  #StarWars #Chopper #Rebels #lulz\xe2\x80\xa6'"
862019688741646337,2017-05-09 19:01:24,b'Even the mobile app testing @tapsterbot is getting in on the #spinner craze! Get your own at @RAPID_Event at the Lu\xe2\x80\xa6 https://t.co/gJXzwnOo6v'
862016074602213376,2017-05-09 18:47:02,b'At @RAPID_Event in #PGH? Stop by Booth 1829 to build your own 3D printed #spinner and check out 3D printed retail-r\xe2\x80\xa6 https://t.co/Rmfnz70cD2'
861683428399263744,2017-05-08 20:45:13,"b'RT @ColorFabb: A #3dprinted #fidgetspinner, made with #copperFill &amp; #woodFill on the @lulzbot3D TAZ6: https://t.co/dc3A7tQiFx #3Dprinting'"
861671402390380544,2017-05-08 19:57:26,b'RT @lulzbot3D: RT @NatFaure: First 3D printing class was a success!! Thanks @SKolhatkar for all your support! @lulzbot3D @tinkercad https:/\xe2\x80\xa6'
861644417509281792,2017-05-08 18:10:12,b'RT @NatFaure: First 3D printing class was a success!! Thanks @SKolhatkar for all your support! @lulzbot3D @tinkercad https://t.co/R4JVetu8Pz'
861621782620639242,2017-05-08 16:40:15,"b""RT @nchan: set up the @lulzbot3D mini, and can confirm that it's indeed dummyproof! https://t.co/B1kJHX5BHH"""
861574020256419840,2017-05-08 13:30:28,b'RT @StoryStephens: Just making a Lulzbot tattoo on a banana @lulzbot3D #Construct3D https://t.co/vw7bqCwKGZ'
861317242289623043,2017-05-07 20:30:07,b'RT @See_Creature: The desk right now #bonemother #3dprinting #stopmotion #animation @thenfb @ColorFabb @lulzbot3D https://t.co/NppDFQY0pq'
861304202403999744,2017-05-07 19:38:18,b'RT @christiansf47: About to start printing can you tell what it is?\n#EnvisionTheFuture @Pinshape\xc2\xa0@MatterHackers @EnableTheFuture @LulzBot3D\xe2\x80\xa6'
861302682342092801,2017-05-07 19:32:16,b'@CsweeneyArtist It was great to meet you!'
861302209543327745,2017-05-07 19:30:23,"b""@StoryStephens That's quite appealing! We have vector art here for all your laser needs: https://t.co/ZjvTY9RmlC"""
860929995421741056,2017-05-06 18:51:20,"b""We're @ the #Construct3D Conference at @DukeU! Stop by to learn how LulzBot 3D printers make concepts tangible to f\xe2\x80\xa6 https://t.co/PSebv7F4kE"""
860506949263253504,2017-05-05 14:50:18,"b""RT @gorgesjonathan: Second print for our @CollegeofDesert math tutors. #3dprinting  #Braille tiles for the @Hasbro Rubik's cube @BrailleIns\xe2\x80\xa6"""
860242567077781505,2017-05-04 21:19:45,b'RT @MatterHackers: Five days left for the #EnvisionTheFuture Contest! Use your creativity to put some good into the world! Learn more: http\xe2\x80\xa6'
860193936471715841,2017-05-04 18:06:30,b'RT @TJMcCue: I leave way early for another meeting that allows me to attend #RAPIDevent #3Dprinting #AdditiveManufacturing this year. Pumpe\xe2\x80\xa6'
860191443922636804,2017-05-04 17:56:36,"b""RT @opensourceway: We're giving away two @lulzbot3D printers this week. Don't miss your chance to win! https://t.co/frW3WbTp4f #3Dprinting\xe2\x80\xa6"""
859864141355520000,2017-05-03 20:16:01,"b""RT @gorgesjonathan: Eden and I finished our Braille #3dprinting Rubik's Cube #EnvisionTheFuture @pinshape @MatterHackers @lulzbot3D @Enable\xe2\x80\xa6"""
859864071834828800,2017-05-03 20:15:44,b'RT @Javier_Montiel1: Our @VelascoElem #bilingual #kindergarten kids finishing modeling their #3dprinted insects for the Advanced Academics\xe2\x80\xa6'
859864013370470403,2017-05-03 20:15:30,b'RT @JenInnovate: Talk all things #upstream in #Community Central at #RHSummit.  @fedora @bexelbie @ProjectAtomic @jboss @manageiq @lulzbot3\xe2\x80\xa6'
859759102360264704,2017-05-03 13:18:38,"b'RT @SciChicNews: Predating pretty much every employee at our company, our @lulzbot3D Mini 3D printer is one our most reliable #ToolsofScien\xe2\x80\xa6'"
859522097588187142,2017-05-02 21:36:51,b'RT @commonslabgr: Showing #3dprinting with @lulzbot3D and teaching #Arduino to kids at Digifest #Heraklion. #oshw #opensource #education ht\xe2\x80\xa6'
859438421047160832,2017-05-02 16:04:21,b'At #RedhatSummit? Stop by the #3DPrinting station in Community Central &amp; pick up a #LulzBot #fidget #spinner for yo\xe2\x80\xa6 https://t.co/kKyeU5ExPL'
859401338001686528,2017-05-02 13:37:00,b'RT @ColorFabb: We fixed the pedal of our garbage bin by #3dprinting a new one! Made on the @lulzbot3D TAZ6 with #colorFabb_XT: https://t.co\xe2\x80\xa6'
859141892315000832,2017-05-01 20:26:03,"b'Win a LulzBot TAZ 6 or a LulzBot Mini from @opensourceway! Enter before this Sunday, May 7, at 11:59 p.m. Eastern T\xe2\x80\xa6 https://t.co/o5Y0wzfoha'"
859135367303356418,2017-05-01 20:00:08,b'RT @JenInnovate: Grab your cool \xf0\x9f\x98\x8e @lulzbot3D finger spinner at #Community Central! #RHSummit @redhatsummit @redhatopen https://t.co/1xanYSn\xe2\x80\xa6'
859124672214028288,2017-05-01 19:17:38,b'RT @marcboudreau: PiFace Robot uses @Raspberry_Pi for computer vision.  Created with my @lulzbot3D  https://t.co/PEQdYvnlzp via @YouTube'
859112877168484353,2017-05-01 18:30:46,b'RT @k2za_john: Finally had an evening to put my birthday present together. .@PrintedSolid enclosure on .@lulzbot3D Mini @Raspberry_Pi .@Oct\xe2\x80\xa6'
859104048087216133,2017-05-01 17:55:41,b'RT @ramaduro: Clones Welcome in #OpenScience #Hardware https://t.co/KuyYQWN6Lh #OpenHardware #3DPrinting @1888nitrate @RepRapLtd @arduino @\xe2\x80\xa6'
859084067685486592,2017-05-01 16:36:17,"b'RT @Kylellrc: What do you do when you have large bearings, a @lulzbot3D taz, and a #fidgetspinner trend? Well... make a large fidget spinne\xe2\x80\xa6'"
859080469480165376,2017-05-01 16:21:59,"b""@altertalk It'll take some modifications, but since the LulzBot Mini is #OpenSourceHardware it's a a bit easier! Re\xe2\x80\xa6 https://t.co/kz9GvlH46g"""
859079482237386752,2017-05-01 16:18:04,b'RT @barb_3dprintny: Scaled one of my @pinshape  decal designs to the max in Cura and #3dprinted myself a flexible filament trivet.   Made o\xe2\x80\xa6'
859056578208698368,2017-05-01 14:47:03,"b'RT @iammrsnix: First #3Dprinting fidget spinner attempt, made on the @lulzbot3D taz 6 https://t.co/I0y99OQWNG'"
859047931902652416,2017-05-01 14:12:41,b'RT @Weedupon: Tardis spinner #fidgetspinner @lulzbot3D #LulzbotMini @GizmoDorks #GlowintheDark #Denver #3Dprinting #DoctorWho @adafruit #Li\xe2\x80\xa6'
859031537299410944,2017-05-01 13:07:33,"b'RT @commonslabgr: Digifest 2017 with @lulzbot3D #3Dprinting, #Arduino workshop for students and promoting #freesoftware #oshw https://t.co/\xe2\x80\xa6'"
858829599937003521,2017-04-30 23:45:07,"b'RT @Z3DForge: In Brightest Day, In Blackest Night...\n#fidgetspinners #tinkercad #LulzbotMini #custom3dprintedparts https://t.co/70ZO3GKuJw'"
858713845090533376,2017-04-30 16:05:09,"b""RT @geo_leeman: I love using heat set inserts in my 3D printed parts, checkout @lulzbot3D's tips on using them! https://t.co/PuAs3GseBJ"""
858386677953429507,2017-04-29 18:25:06,"b""RT @jpkilner: 1/3 scale prototype of a student's 3D printed skull planter. #thingiverse #lulzbot #steam\xe2\x80\xa6 https://t.co/IwDpL3rn62"""
858346459166642177,2017-04-29 15:45:17,b'RT @ASDMrWhite: 3d printing at home now!!  Thanks @MatterHackers for the @lulzbot3D printer and MatterControl! https://t.co/Vz6Dma6PCY'
858071237217722368,2017-04-28 21:31:39,b'RT @RichRap3D: @benmalouf @FilamentsDir @lulzbot3D @Polymaker_3D Just tried the same with the MOARstruder - this is so much fun. Actual use\xe2\x80\xa6'
858071030522359808,2017-04-28 21:30:50,"b""@nxtboyIII Oh no! We're following up. DM your details please."""
858043412284657667,2017-04-28 19:41:05,b'RT @digitalcoleman: TFW you finish off a 3 kg role of filament with a 13 hour print and just one or 2m left. @lulzbot3D #moarstruder https:\xe2\x80\xa6'
858036845673938946,2017-04-28 19:15:00,b'RT @benmalouf: @rwinscot @lulzbot3D @ColorFabb And how! https://t.co/A3EIT3e8cu'
858026348413059076,2017-04-28 18:33:17,"b'RT @villum: ""Collaboration fuels innovation"" - @benmalouf from @lulzbot3D manufacturer @alephobjects on why open source hardware makes sens\xe2\x80\xa6'"
858017077709459456,2017-04-28 17:56:27,b'RT @LT_Applied_Tech: Student designed and 3D printed guitar \xf0\x9f\x8e\xb8 hole cover and spinners \xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x92\xbb #lths #engineering #lulzbot #3dprinting #edtech h\xe2\x80\xa6'
857987730596409344,2017-04-28 15:59:50,"b'RT @nxtboyIII: Printed in almost 6 hours on @lulzbot3D Taz 6, using BioFila Silk, LAYWOO-D3, and Polylite true black PLA https://t.co/l3ad9\xe2\x80\xa6'"
857680920211533824,2017-04-27 19:40:40,"b'In another interesting research paper, the team at @mtumse evaluated @ColorFabb &amp; @Proto_pasta metallic filament th\xe2\x80\xa6 https://t.co/Z1aFBnlfKn'"
