id,created_at,text
742644767226368001,2016-06-14 09:08:04,b'RT @sally07: Little weekend maker projects #makeredu #makerspace #pbl #socialmedia #aussieED #edchat\xe2\x80\xa6 https://t.co/7XhVXwNW8w https://t.co/\xe2\x80\xa6'
742644488477249536,2016-06-14 09:06:58,b'RT @RokenbokEdu: Thanks @GeekyGadgets for the write up! ROKduino Educational #Arduino Based Robotic Building Blocks (video) https://t.co/Kk\xe2\x80\xa6'
742643889249607680,2016-06-14 09:04:35,b'RT @robysn1: 27 Makerspace Materials &amp; Supplies - https://t.co/ApmznjlsOp https://t.co/Sb2Q7yaU6J'
742643750757892096,2016-06-14 09:04:02,b'RT @CocoJasp: @Makerspaces_com this is great makerspace stuff https://t.co/6wlKTEC8EF'
742641591245017092,2016-06-14 08:55:27,b'RT @EdWeekTeacher: Coding English teacher @thenerdyteacher says tech use must span subject areas: https://t.co/9YvzgZ0Sbp #TechCounts https\xe2\x80\xa6'
742637668811558912,2016-06-14 08:39:52,b'RT @microsofteduk: Check out the many @SkypeClassroom lessons offered by Guest Speakers &amp; Educational partners all over the world! https://\xe2\x80\xa6'
742637641028505600,2016-06-14 08:39:45,"b'RT @microsofteduk: Keen to do more #coding in your classes? Try ""Prepare to Teach Creative Coding Through Games and Apps"" on the #MEC: http\xe2\x80\xa6'"
742637601396535296,2016-06-14 08:39:36,b'RT @microsofteduk: The BBC micro:bit is now available to all! Order individual devices or coding club packs from the Microsoft Store! https\xe2\x80\xa6'
742637234977951744,2016-06-14 08:38:09,b'RT @microsofteduk: Fantastic! Another great example of how #MinecraftEdu can be used as part of wider projects. https://t.co/afBuXI13yn'
742636859747147776,2016-06-14 08:36:39,"b""RT @start_robo: Don't share our passion for robots yet? Wait until you see this!\n\nhttps://t.co/p4qa6oCkkF"""
742634015782535168,2016-06-14 08:25:21,b'RT @appetiteforedu: 6 must-haves for developing a maker mindset https://t.co/okPQ5xphUp #education @edsurge'
742633991807852544,2016-06-14 08:25:15,"b""RT @alissabigelow: What's Next for Maker Education @PamDouglas @rossbigelow @karenjhalliday https://t.co/gljJ2JXsD2 #edtech via @EdSurge"""
