id,created_at,text
758359851164499968,2016-07-27 17:54:12,b'Be sure to Like our Facebook page! https://t.co/YQMzLaZmqK #PokemonGO'
758057093853097984,2016-07-26 21:51:09,b'@arstechnica @KyleOrl You forgot about us!! Mimes are better than bots!'
755452210473951233,2016-07-19 17:20:17,b'Too tired to go out and catch your own charizard? Use our app to do it for you! https://t.co/qGCV35GrgZ #pokemongo'
754748573598621696,2016-07-17 18:44:17,b'Frustrated with #pokemongo server issues? Try hiring one of our mimes to do the walking for you! https://t.co/qGCV35GrgZ'
754494922535739392,2016-07-17 01:56:22,b'@themarysue Or hire a mime to do it for you! https://t.co/qGCV35GrgZ'
754492988030541824,2016-07-17 01:48:40,b'@man0fbass We never joke about mimes. Or pokemon. Or pokemon and mimes\xe2\x80\xa6'
754457150806630400,2016-07-16 23:26:16,b'@kiro7seattle Or they could hire one of our mimes! https://t.co/qGCV35GrgZ'
754455391870722049,2016-07-16 23:19:17,b'@geologylady Absolutely! All of our pokemimes are much more attractive. And pleasant. And silent.'
754454605287665664,2016-07-16 23:16:09,b'@sfmagicmountain Are mimes allowed entry? https://t.co/qGCV35GrgZ #pokemongo'
754453234090029056,2016-07-16 23:10:42,b'@teamcoco Or hire one of our mimes! https://t.co/qGCV35GrgZ'
754452829150941184,2016-07-16 23:09:06,b'@man0fbass Or hiring one of our Pokemimes!'
754452116836487168,2016-07-16 23:06:16,"b'@gamespot If they had hired one of our pokemimes, this never would have happened. #pokemongo'"
754451830759788545,2016-07-16 23:05:08,b'@geologylady This does not look like any of our pokemimes\xe2\x80\xa6'
754451730763386880,2016-07-16 23:04:44,b'@mysteryguitarm You should try hiring one of our mimes to hunt for you! #pokemongo'
754372872089370626,2016-07-16 17:51:22,b'@xeni We\xe2\x80\x99re remaining silent on this issue\xe2\x80\xa6 ;)'
754372645194379264,2016-07-16 17:50:28,b'@larrydn22 We can help!'
754024899744665601,2016-07-15 18:48:39,b'@PokemonGoHub We\xe2\x80\x99re silently disrupting Pokemon Go with our mime sharing app! https://t.co/i57pT5rHG0 #pokemon #pokemongo'
754024804202590209,2016-07-15 18:48:17,b'@PokemonGoNews We\xe2\x80\x99re silently disrupting Pokemon Go with our mime sharing app! https://t.co/i57pT5rHG0 #pokemon #pokemongo'
754024152445530113,2016-07-15 18:45:41,b'Silently disrupting Pokemon Go with our mime sharing app! https://t.co/i57pT5rHG0 #pokemon #pokemongo'
