id,created_at,text
754740534602629120,2016-07-17 18:12:20,b'I just earned the Rookie badge on #Yelp!'
645620245105930240,2015-09-20 15:27:16,b'Top 50 Beer Projects'
599248202873737216,2015-05-15 16:21:19,b'The Ultimate Firefly Party Package - yes plz! http://t.co/0BQ8L1TwaX'
593918998699466752,2015-04-30 23:24:58,"b'RT @zaibatsu: ""The 36 Rules of #SocialMedia - http://t.co/et9vyMP6gE"" RT @ThomasMarzano'"
568449675155644416,2015-02-19 16:38:58,b'Win 94 Cans of Flame Paint! via @bombingscience  http://t.co/oaxOAIQJ9w'
309000917125058560,2013-03-05 18:02:14,b'pomDeterrific pomDeter - Call Me A Hole via #soundcloud http://t.co/MqTVBH7y1U'
228708392028487681,2012-07-27 04:28:24,b'At beatles love #lasvegas #beatles'
225721618293485568,2012-07-18 22:40:02,b'I just backed Shadowrun Online on @Kickstarter http://t.co/TQEiJeUS'
223509181376901123,2012-07-12 20:08:36,b'What About Me? Infographic of my social media use http://t.co/9H6dmt5I http://t.co/lJoBGvDR'
217305378843656192,2012-06-25 17:16:54,b'I voted for Armada Games -- help them out!  Mission: Small Business\xe2\x84\xa0: http://t.co/7w87bM0D'
191189715020562432,2012-04-14 15:42:34,"b'Older mix of mine, but needed to share -- And I DanceDanceDance by syncere via #soundcloud http://t.co/rIqyygtw #breakhouse'"
180025635027156992,2012-03-14 20:20:30,b'Manatee Encounter Plus Snorkel Gear Rental -- Who wants to go with me? https://t.co/0boGwmJ3 via @LivingSocial'
159729254354010112,2012-01-18 20:09:56,b'Who was the best SOPA/PIPA blackout push today?  So far I think @wired takes the cake.  #DamnSOPA'
140149977191170048,2011-11-25 19:28:53,b'$20 for $40 Sketchers Online Store! http://t.co/AD3BVBY5 via @LivingSocial'
111275370954768384,2011-09-07 03:11:30,b'Any PC gamers out there?  Add me on steam -- syncerely'
107274680116838400,2011-08-27 02:14:11,"b""I checked in at Goodman's Real Pit BBQ (2429 S Byron Butler Pkwy) on #Yelp http://t.co/baDbHKS"""
94243608072437760,2011-07-22 03:13:21,"b'I want either less corruption, or more chance to participate in it.'"
