id,created_at,text
863238013555494913,2017-05-13 03:42:35,b'Andy Herbon https://t.co/Ck5dYBW3zp'
859978167267856384,2017-05-04 03:49:07,"b'Semester is complete. Thank goodness. Classes were so challenging and fun, and I am so glad they are over.... https://t.co/tYByWGKANK'"
857405221038952449,2017-04-27 01:25:09,b'For my couponing friends... https://t.co/RZ9Gg2PaCt'
847237207840641024,2017-03-30 00:01:05,b'Happy #ManateeAppreciationDay ! #LoveFL https://t.co/A6Lhx1Ic1q'
847236477087920129,2017-03-29 23:58:11,b'The Ten Best Places in Florida to see Manatees https://t.co/KoelnLVetf'
845129619028135936,2017-03-24 04:26:17,b'I just entered to win an awesome prize from @WFLA https://t.co/DRKRF4G2Fh'
843113003914592256,2017-03-18 14:52:59,"b""Have you liked Andy's Floridude page yet? If not, how come?? \xf0\x9f\x98\x84 https://t.co/HGTo8uhvOf"""
828249807122731008,2017-02-05 14:31:56,b'#willit omelet? Grits? Toothpaste? #gmm @rhettandlink'
827009050537779200,2017-02-02 04:21:37,"b""RT @POTUS44: I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe\xe2\x80\xa6"""
827007122319740928,2017-02-02 04:13:57,b'Best. Response. Ever. https://t.co/SA90fE4B1k'
826990247162544128,2017-02-02 03:06:54,"b""Max is raising money for his school. Make a pledge if you can, but check out the video either way... it's adorable. https://t.co/xyOmhIEwtm"""
826988815042613248,2017-02-02 03:01:12,"b'Ainsley is raising money for her school! Pledge if you can, but check out this adorable video either way! https://t.co/2qnggnRcSB'"
821175753568112640,2017-01-17 02:02:11,b'Wore my #gmm shirt to Disney today and was greeted by many mythical beasts. Now... home to watch a new episode with @rhettandlink'
808520774063624192,2016-12-13 03:55:48,"b'I showed Cocoa some of your suggestions, Marko. I think you inspired him. \xe2\x9d\xa4\xef\xb8\x8f'"
808172440987779073,2016-12-12 04:51:39,"b""I'm going to assume you have both seen it, but don't read this article if you haven't yet, Susan Dutton Callahan... https://t.co/O41AgmnZWC"""
