id,created_at,text
863181048657698816,2017-05-12 23:56:13,b'Team @HackTampa at @sofwerx #DataScience hackathon... this is gonna be an interesting 24 hours! https://t.co/x4MCbKBMoc'
863101055059537921,2017-05-12 18:38:21,b'RT @jackmjenkins: This is your weekly reminder that using the term \xe2\x80\x9cChristians\xe2\x80\x9d when you really mean \xe2\x80\x9cwhite evangelicals\xe2\x80\x9d is inaccurate and\xe2\x80\xa6'
863094929974841344,2017-05-12 18:14:01,b'I am eagerly anticipating the expert answer! https://t.co/ZsqYZlVn4s'
863094811535998982,2017-05-12 18:13:33,b'@drmichellelarue Possibly juvenile cougar?  Or felis catus.'
863089461273526276,2017-05-12 17:52:17,"b""My girltwin #artist / #storyteller / #techie is at it again. I'm not even sure how she did all of this. https://t.co/er4NrPkp01"""
862862067941986304,2017-05-12 02:48:42,b'@SusanWiseBauer How do you not just snuggle all day?'
862861792405590016,2017-05-12 02:47:37,"b""Oh, there's the problem, I'll just crimp a new end on... what the WHAT?!??\n#cablefail #sproing #mommycanfixanything https://t.co/6Is2FLeW2O"""
862740746885107712,2017-05-11 18:46:37,"b""@bittelmethis @National_Aviary You're blowing the curve, man. Give some other parents a chance to be awesome. \xf0\x9f\x98\x86"""
862646994568982529,2017-05-11 12:34:05,"b'@aprilfiet I am continually frustrated that ""Women of the Bible"" studies are always considered women\'s (only) Bible studies.'"
862494868685369345,2017-05-11 02:29:35,"b""Could we... crowdfund one? @ACLU or someone gov't can't fire, intimidate, or pull funding from? Is this even remote\xe2\x80\xa6 https://t.co/TsXLRsGaoA"""
862491094914871300,2017-05-11 02:14:35,b'@medicalaxioms  https://t.co/xfFCM1eBjx'
861803226269659136,2017-05-09 04:41:15,"b'@WhySharksMatter At one of them near us it was like ocean puppies. Even after the food was gone, they kept coming b\xe2\x80\xa6 https://t.co/Iq9UkpE9Yb'"
861744359632515074,2017-05-09 00:47:20,b'@The_Episiarch This needs to be a @Blackmudpuppy drawing.'
861743064230047744,2017-05-09 00:42:11,b'@SusanWiseBauer Beautiful!'
861742673715224576,2017-05-09 00:40:38,"b'@BlairBraverman Where does one sign up to be chicken-trained? \xf0\x9f\xa4\x94 Asking for, uh, a friend.'"
861742241001418753,2017-05-09 00:38:55,"b""@BlairBraverman @NekoCase @QuinceMountain YES! Don't Shoot the Dog! changed my life with animals, children, co-workers, etc. etc. etc."""
861740666606559232,2017-05-09 00:32:39,"b'@AmazonHelp Skip the scripted non-replies. Your shipping has been going downhill for a couple of years now, hire better service providers.'"
861740185003995137,2017-05-09 00:30:45,"b'""...many of whom have failed multiple placements.""\n\nFoster system has failed THEM. They are children, they can\'t ""f\xe2\x80\xa6 https://t.co/zomAOLjNxi'"
861739206279933954,2017-05-09 00:26:51,b'@reina_sabah OMG I STOLE YOUR THOUGHT BEFORE I EVEN SCROLLED TO HERE'
861738879174553601,2017-05-09 00:25:33,b'@americanbeetles When you look into the ant butthole abyss something something'
861738547455430656,2017-05-09 00:24:14,"b'.@amazon (Note the system clock time when the 4:03PM update was displayed -- 3:05PM, also in Florida where the pkg\xe2\x80\xa6 https://t.co/MJWHmJxlU9'"
861636039919710208,2017-05-08 17:36:54,"b'@Astro2fish I see... a butt. Also, I have three 9 year-old children at the moment, does it show? \xf0\x9f\xa4\xa3'"
861576862644002816,2017-05-08 13:41:46,"b""Arguing over (a) who gets to be Genghis Khan (b) whether Khan fought with a sword or bow &amp; arrow. I'm blaming\xe2\x80\xa6 https://t.co/mqcDcDd6G1"""
861553696769015808,2017-05-08 12:09:42,b'@jenenome \xe2\x98\xb9\xef\xb8\x8f   I feel you (RA here)'
861551551902613504,2017-05-08 12:01:11,"b'@UnciaKate @AnneWHilborn When I was young, the yak was my favorite animal. Thank Dr. Seuss and a zoo somewhere that had one.'"
861439040465358848,2017-05-08 04:34:06,b'@upulie I am so sorry. \xf0\x9f\x98\x94'
861249062238117890,2017-05-07 15:59:12,b'For the next six weeks I have THREE nine year-olds. If you need me I will be hiding in a closet whimpering. \xf0\x9f\xa4\xa3 https://t.co/YoG5pTNwRy'
861248910798585861,2017-05-07 15:58:36,"b'My little Tidbit is NINE yrs old today, and got an acoustic pickup for her violin as a bday gift. https://t.co/zYvJdP9ZuS'"
861196874992234497,2017-05-07 12:31:49,"b'@am_anatiala That is one of those animals that looks like a stuffie, it is so perfect'"
861072988313092096,2017-05-07 04:19:33,b'@bonniegrrl @TheWookieeRoars @HamillHimself @Darth_Duff @penguinrandom @PenguinRHUK @randomhousekids @RandomHouseCA\xe2\x80\xa6 https://t.co/w2dQ6Bpjlo'
861071916634951681,2017-05-07 04:15:17,b'@susannafraser @courtneymilan Local hospital foundation funds nurse practitioners on-site at homeless shelter &amp; fre\xe2\x80\xa6 https://t.co/ajgy6n2UW1'
861062576972738560,2017-05-07 03:38:10,b'@smartereveryday Those faces are the BEST!'
860751127830286336,2017-05-06 07:00:35,b'@AstroKatie But did they ask what happens if you poop in a black hole? Poop usually works its way into everything (\xe2\x80\xa6 https://t.co/bbpCsutTih'
860593949521698816,2017-05-05 20:36:01,"b""For the brave &amp; patient chaperones who shepherd Northwood's 2nd-5th grade kids to @Cedarkirk Spring Bash, we give t\xe2\x80\xa6 https://t.co/fW48oGmmvH"""
860458252932403200,2017-05-05 11:36:48,b'@JasonWelle I would pay to watch a livstream of that meeting.  \xf0\x9f\x98\x82'
860363665563942912,2017-05-05 05:20:57,"b""@am_anatiala Don't compare your insides to everyone else's outsides.\n\n(wise words from a wise woman I knew many years ago)"""
860360017727414272,2017-05-05 05:06:27,"b'@niais Folks in Bedminster pronably all belong to that club, or one of the half-dozen others in the vicinity. Pop.\xe2\x80\xa6 https://t.co/Udps8aoxBR'"
860340204917411840,2017-05-05 03:47:43,b'@Veganmathbeagle I had 2 9yo boys telling their friends about the cool dungeon(?) adventure game \xf0\x9f\x98\x81'
860321435977482240,2017-05-05 02:33:08,b'@RegReader So sorry for your loss. That disease is ruthless.'
860189392157253632,2017-05-04 17:48:27,"b'Kids completely hooked on @Zmangames_  Pandemic. Love co-op games, plus bonus geography lessons! #homeschool\xe2\x80\xa6 https://t.co/RNHCwho3Eq'"
860119530126938113,2017-05-04 13:10:50,b'@kristenrudd \xf0\x9f\x98\x86'
859930092990058497,2017-05-04 00:38:05,"b'@am_anatiala @diego_amazonia Done!\nNote that you have to click on the ""Peruvian Scholarship"" link &amp; get to this pag\xe2\x80\xa6 https://t.co/GizhpjxJnI'"
859855677912690689,2017-05-03 19:42:23,b'@kristenrudd @joelbezaire Our bassist has been obsessively checking his cables every Sunday since I sent him this o\xe2\x80\xa6 https://t.co/HhhIR2xsNm'
859611067864973312,2017-05-03 03:30:24,b'@BenSasse Will teach programming for broccoli. So will my (#homeschooled) children.'
859232042143318016,2017-05-02 02:24:17,"b'It is not ""our job as a society"" to decide who deserves health care and who doesn\'t. Good health is luck, not virtue.'"
859231582519005184,2017-05-02 02:22:27,"b'Video here: https://t.co/VdJgUAh3DA\n(he does sat that many are ""through no fault of their own""; that does not excuse his preceding words)'"
859155703117828100,2017-05-01 21:20:56,"b'How \'bout you tell me how much more ""right"" I should do things to get rid of this pesky RA &amp; I won\'t bother my ins\xe2\x80\xa6 https://t.co/uk2M6Vskvj'"
859047691275382784,2017-05-01 14:11:44,"b'Why I \xe2\x9d\xa4\xef\xb8\x8f @HackTampa:\nThis ""hodgepodge"" is beating teams from MIT, Cornell, et al.\n@MilesSpace name is from Frost, b\xe2\x80\xa6 https://t.co/mXsmEikvxS'"
858831663660490752,2017-04-30 23:53:19,"b'THANK YOU!\n\n""We ate/rode/played &lt;whatever&gt; and survived""  NO!\nChildhood (&lt;5yo) deaths now 1/4 rate when I was born.\xe2\x80\xa6 https://t.co/vb6791zPDk'"
858794793027203072,2017-04-30 21:26:48,"b'#SpaceAppsTampa winners - congratulations! Tough judging decisions, great projects from all the teams! #SpaceApps\xe2\x80\xa6 https://t.co/LeUtKUz7PR'"
858791420450263040,2017-04-30 21:13:24,b'#SpaceAppsTampa trivia winners - tickets to @WeAreTheCircle https://t.co/l2aGH8HbX8'
858721381898485760,2017-04-30 16:35:06,b'Brought 2/3 of my entourage with me   To #SpaceAppsTampa today. #nerdlets #SpaceApps https://t.co/hKszok7bVQ'
858671013328015360,2017-04-30 13:14:57,b'RT @HackTampa: #SpaceAppsTampa trivia winner with correct answer about @sofwerx building history - an Arduino Lilypad https://t.co/JmiQTIsX\xe2\x80\xa6'
858461641041641472,2017-04-29 23:22:59,b'Last night of The King and I - so impressed by the high school junior who has been the child wrangler for this show\xe2\x80\xa6 https://t.co/45ejodMiZ4'
